url_meneame,tema,estado,id_noticia_meneame,numero_comentarios,intentos,ultimo_error,actualizado_utc
https://www.meneame.net/story/borrell-precisa-leopoldo-lopez-no-puede-pedir-asilo-embajada,inmigracion,ok,3123200,26,1,,2026-07-18T10:38:05.310961+00:00
https://www.meneame.net/story/boyas-sierras-rio-grande-frenar-migrantes,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/boyas-sierras-rio-grande-frenar-migrantes,2026-07-18T11:01:56.920483+00:00
https://www.meneame.net/story/brunei-castigara-pena-muerte-lapidacion-sexo-gay-adulterio,lgtbi,ok,3104627,96,1,,2026-07-18T10:38:06.597093+00:00
https://www.meneame.net/story/brunei-dice-no-impondra-pena-muerte-homosexuales,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/brunei-dice-no-impondra-pena-muerte-homosexuales,2026-07-18T11:01:57.491037+00:00
https://www.meneame.net/story/bruselas-convierte-marruecos-socio-clave-combatir-inmigracion,inmigracion,ok,3821160,21,1,,2026-07-18T10:38:07.826121+00:00
https://www.meneame.net/story/bruselas-ofrece-gobiernos-pagar-eludir-acogida-refugiados,inmigracion,ok,2608427,6,1,,2026-07-18T10:38:08.469704+00:00
https://www.meneame.net/story/bruselas-pedira-miercoles-espana-reciba-15-000-refugiados-12,inmigracion,ok,2474070,17,1,,2026-07-18T10:38:09.147021+00:00
https://www.meneame.net/story/bruselas-prepara-recorte-ayuda-humanitaria-campos-refugiados,inmigracion,ok,2370156,2,1,,2026-07-18T10:38:09.798273+00:00
https://www.meneame.net/story/bruselas-propondra-reubicar-unos-120-000-refugiados-forma-ante,inmigracion,ok,2472687,15,1,,2026-07-18T10:38:10.488353+00:00
https://www.meneame.net/story/brutal-agresion-transexual-metro-paris,lgtbi,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/brutal-agresion-transexual-metro-paris,2026-07-18T11:01:58.058749+00:00
https://www.meneame.net/story/bulos-sobre-migrantes,inmigracion,ok,3173935,23,1,,2026-07-18T10:38:11.734224+00:00
https://www.meneame.net/story/cabecilla-avion-patera-palma-exultante-librarse-sedicion-viva,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/cabecilla-avion-patera-palma-exultante-librarse-sedicion-viva,2026-07-18T11:01:58.624890+00:00
https://www.meneame.net/story/cabreo-mohamed-vi-permitio-1-400-inmigrantes-colarse-espana,inmigracion,ok,3139292,10,1,,2026-07-18T10:38:12.949963+00:00
https://www.meneame.net/story/cae-gobierno-coalicion-paises-bajos-tras-imposicion-rutte-asilo,inmigracion,ok,3832553,15,1,,2026-07-18T10:38:13.605762+00:00
https://www.meneame.net/story/cae-malaga-red-dedicada-explotacion-laboral-migrantes-43,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/cae-malaga-red-dedicada-explotacion-laboral-migrantes-43,2026-07-18T11:01:59.197155+00:00
https://www.meneame.net/story/cae-red-prostitucion-transexuales-pisos-citas-madrid-barcelona,lgtbi,ok,3147823,17,1,,2026-07-18T10:38:14.855597+00:00
https://www.meneame.net/story/cae-trama-empresarios-explotaba-inmigrantes-ilegales-zaragoza,inmigracion,ok,3874414,2,1,,2026-07-18T10:38:15.496712+00:00
https://www.meneame.net/story/callejon-sin-salida-centros-control-refugiados,inmigracion,ok,2649345,0,3,,2026-07-18T11:17:01.274585+00:00
https://www.meneame.net/story/calvo-recuerda-open-arms-no-tiene-permiso-rescatar,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/calvo-recuerda-open-arms-no-tiene-permiso-rescatar,2026-07-18T11:02:15.684604+00:00
https://www.meneame.net/story/calvo-unir-feminismo-colectivo-lgtb-como-ir-mano-quien-disena,lgtbi,ok,3788227,25,1,,2026-07-18T10:38:17.507422+00:00
https://www.meneame.net/story/cambades-denuncia-acarreo-votos-desde-asilo,inmigracion,ok,3119707,34,1,,2026-07-18T10:38:18.206503+00:00
https://www.meneame.net/story/cambio-planes-audaz-navega-ahora-sicilia-donde-recogera-15,inmigracion,ok,3174412,10,1,,2026-07-18T10:38:18.877819+00:00
https://www.meneame.net/story/cameron-anuncia-policia-britanica-podra-confiscar-sueldos,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/cameron-anuncia-policia-britanica-podra-confiscar-sueldos,2026-07-18T11:02:16.249357+00:00
https://www.meneame.net/story/cameron-asegura-quiere-combatir-plaga-inmigrantes-quiere-entrar,inmigracion,ok,2455058,31,1,,2026-07-18T10:38:20.110732+00:00
https://www.meneame.net/story/cameron-habla-hollande-promete-perros-vallas-frenar-inmigrantes,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/cameron-habla-hollande-promete-perros-vallas-frenar-inmigrantes,2026-07-18T11:02:16.816588+00:00
https://www.meneame.net/story/campana-apoyo-refugiados-antena-3-cruz-roja,inmigracion,no_disponible,,,2,404 Client Error: Not Found for url: https://www.meneame.net/story/campana-apoyo-refugiados-antena-3-cruz-roja,2026-07-18T11:02:17.377556+00:00
https://www.meneame.net/story/campbell-johnstone-exjugador-all-blacks-rompe-tabu-anunciar-gay,lgtbi,ok,3775617,14,1,,2026-07-18T10:38:21.962654+00:00
https://www.meneame.net/story/canada-concluye-apenas-tres-meses-proceso-reubicacion-25-000,inmigracion,ok,2575321,11,1,,2026-07-18T10:38:22.601457+00:00
https://www.meneame.net/story/canarias-destinara-50-millones-recursos-acogida-menores,inmigracion,ok,3820092,8,1,,2026-07-18T10:38:23.263702+00:00
https://www.meneame.net/story/candidata-acuchillada-defender-refugiados-gana-elecciones,inmigracion,ok,2495309,61,1,,2026-07-18T10:38:23.939499+00:00
https://www.meneame.net/story/candidata-cs-marbella-empadrono-ultima-hora-piso-habitado,inmigracion,ok,3128311,6,1,,2026-07-18T10:38:24.646546+00:00
