Topic,Count,Name,Representation,Representative_Docs
26,258,26_pecado_homosexualidad_dios_homosexual,"['pecado', 'homosexualidad', 'dios', 'homosexual', 'biblia', 'homosexuales', 'delito', 'papa', 'caridad', 'iglesia']","['la homosexualidad nl es un delito pero si un pecado', 'una pregunta¿ la homosexualidad es pecado? por qué ya también soy homosexual', 'el que es pecador  no es hijo de dios ,y la homosexualidad es pecado así esta dicho']"
27,257,27_amor_love_encanta_hermoso,"['amor', 'love', 'encanta', 'hermoso', 'corto', 'beautiful', 'amor amor', 'is', 'this', 'gusta']","['que bueno es el amor😢', 'no confundas intensidad con amor ❤️💔🇨🇺', 'esa **** no es amor es vanidad!!']"
28,223,28_argentina_argentino_argentinos_saludos,"['argentina', 'argentino', 'argentinos', 'saludos', 'acá', 'españa', 'boludo', 'milei', 'viva', 'mal']","['gracias argentina desde españa ❤', 'momenos que españa recurrio a argentina.', 'que bueno que no esta argentina']"
29,218,29_jajajaja_huevos_jajajaja jajajaja_jajaja,"['jajajaja', 'huevos', 'jajajaja jajajaja', 'jajaja', 'jajajajaj', 'jajajajajaja', 'jaja', 'jajaj', 'jajajajaja', 'huevo']","['en noviembre aquí el chato maracatungo se presenta y que se repitan 20 o 400 veces hasta que gane, jajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja que país, jajaja jajajaja jajajaja jajajaja jajajaja,', 'jajaja jajaja jajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja', 'jajaja jajajaja jajajaja']"
30,211,30_chica_mujer_señora_hermosa,"['chica', 'mujer', 'señora', 'hermosa', 'her', 'girl', 'guapa', 'bella', 'linda', 'just']","['es rami malek de mujer', 'xfin una mujer tiene la rszon', 'porque la chica se parase a rubius']"
31,209,31_polonia_polacos_polaco_grande,"['polonia', 'polacos', 'polaco', 'grande', 'felicitaciones', 'bravo', 'patriotas', 'dios bendiga', 'excelente', 'bendiga']","['no se me rinda polonia 💪🏻', 'muy bien polonia!!!!', 'bien por polonia!! 🙌❤']"
32,208,32_europa_europea_europeos_unión europea,"['europa', 'europea', 'europeos', 'unión europea', 'unión', 'union europea', 'europeo', 'union', 'españa europa', 'países']","['migliori dell europa 💣💯', 'europa no seas inumana', 'quienes trafican personas a europa']"
33,197,33_comunismo_franco_comunistas_comunista,"['comunismo', 'franco', 'comunistas', 'comunista', 'dictadura', 'guerra', 'stalin', 'dictador', 'franquista', 'república']","['xsi pues,y muchos desconocen q el comunismo es homofono', 'exterminar al comunismo', 'nos salvaron del comunismo']"
34,196,34_year_2020_año_new,"['year', '2020', 'año', 'new', '2021', '2023', 'happy', 'the', 'to', 'for']","[""happy new year lads! \nthank you for being one of the best highlights of last year! i'm looking forward to seeing you live several times this year and i'm excited to see what you've got in store for us with your channel!"", ""new year, new sketch! can't wait for what's to come this year :)"", 'first great sketch of the year, looking forward to many more 😂 happy new year lads 🎉']"
35,188,35_tío_señor_hombres_genio,"['tío', 'señor', 'hombres', 'genio', 'tio', 'razón', 'habla', 'hará', 'trabajo hará', 'grande']","['el trabajo os hará verdaderos hombres, así de simple.', 'el trabajo os hará hombres 🇨🇺', 'este señor es in genio.']"
36,185,36_cuba_galicia_española_esposo,"['cuba', 'galicia', 'española', 'esposo', 'ciudadana', 'cubana', 'ciudadana española', 'ciudadanía', 'hola', 'esposa']","['soy ciudadana ya vivo en cuba ,estoy inscrita n galicia,ourense y me gustaria irme a vivir con mi esposo para allá', 'soy ciudadana española pero vivo cuba pertenezco a galicia me interesa emigrar para trabajar allá q hacer', 'yo soy ciudadana española vivo en cuba como puedo entrar en el programa']"
