year_dataset,Topic,Name,documentos,total_documentos_anio,porcentaje_corpus,etiqueta
2016,74,74_homosexualidad_terapia_libro_em,12,2996,0.4,74_homosexualidad_terapia_libro_em
2016,75,75_actor_contado_silvestre_pueblo,5,2996,0.17,75_actor_contado_silvestre_pueblo
2016,76,76_courage_animales_toledo_archidiócesis,26,2996,0.87,76_courage_animales_toledo_archidiócesis
2016,77,77_bandera_ayuntamiento_lgtbi_arcoíris,3,2996,0.1,77_bandera_ayuntamiento_lgtbi_arcoíris
2016,78,78_gay games_games_valència_2026,1,2996,0.03,78_gay games_games_valència_2026
2016,80,80_españoles_iglesias_rodó_países,2,2996,0.07,80_españoles_iglesias_rodó_países
2016,82,82_modelo_secret_marca_victoria,2,2996,0.07,82_modelo_secret_marca_victoria
2016,83,83_madrid_orgullo_cogam_ciudadanos,11,2996,0.37,83_madrid_orgullo_cogam_ciudadanos
2019,0,0_lgtbi_igualdad_ley_diversidad,320,5712,5.6,"Derechos, igualdad y diversidad"
2019,1,1_fútbol_jankto_futbolista_jugador,99,5712,1.73,Diversidad sexual en el fútbol
2019,2,2_orgullo_00_orgullo gay_20,175,5712,3.06,Orgullo gay y celebraciones
2019,3,3_homosexualidad_cañizares_alcalá_obispado,140,5712,2.45,Iglesia y homosexualidad
2019,4,4_orgullo_lgtbi_orgullo lgtbi_lgtbiq,141,5712,2.47,Orgullo y colectivo LGTBI
2019,5,5_acusado_víctima_hechos_prisión,120,5712,2.1,Casos judiciales y víctimas
2019,6,6_película_personajes_serie_cine,89,5712,1.56,Representación en cine y series
2019,7,7_bandera_bandera lgtbi_ayuntamiento_vox,15,5712,0.26,Bandera LGTBI y ayuntamientos
2019,8,8_rusia_propaganda_ruso_rusa,49,5712,0.86,Políticas anti-LGTBI en Rusia
2019,9,9_si_bisexuales_mujeres_homosexuales,81,5712,1.42,Bisexualidad y mujeres
2019,10,10_víctimas_detenido_agentes_policía,87,5712,1.52,Policía y detenciones
2019,11,11_matrimonio_mismo sexo_parejas_sexo,36,5712,0.63,Matrimonio entre personas del mismo sexo
2019,12,12_mateen_orlando_club_tiroteo,32,5712,0.56,Atentado de Orlando
2019,13,13_salud_transexuales_personas_transexualidad,58,5712,1.02,Salud y personas trans
2019,14,14_odio_delitos_agresiones_delitos odio,54,5712,0.95,Delitos de odio y agresiones
2019,15,15_carmen_programa_actriz_veneno,60,5712,1.05,15_carmen_programa_actriz_veneno
2019,16,16_bandera_ayuntamiento_orgullo_día,48,5712,0.84,"Orgullo, banderas e instituciones"
2019,17,17_lgtbi_barcelona_lona_vox,71,5712,1.24,17_lgtbi_barcelona_lona_vox
2019,18,18_girona_gay_rock_cine,33,5712,0.58,18_girona_gay_rock_cine
2019,19,19_barcelona_psc_collboni_partido,43,5712,0.75,19_barcelona_psc_collboni_partido
2019,20,20_premio_cine_festival_premios,56,5712,0.98,20_premio_cine_festival_premios
2019,21,21_matrimonio_supremo_florida_tribunal,3,5712,0.05,Matrimonio igualitario en Estados Unidos
2019,22,22_taiwán_matrimonio_mismo sexo_asia,91,5712,1.59,Matrimonio igualitario en Taiwán
2019,23,23_ejército_trump_obama_transgénero,57,5712,1.0,23_ejército_trump_obama_transgénero
2019,24,24_atletas_atletismo_transgénero_competir,14,5712,0.25,Personas trans en el deporte
2019,25,25_padrino_salinas_iglesia_obispado,4,5712,0.07,Iglesia y controversias religiosas
2019,26,26_nombre_cambio nombre_cambio_niña,33,5712,0.58,Cambio de nombre e infancia trans
2019,27,27_transexual_policía_paloma_mujer,57,5712,1.0,27_transexual_policía_paloma_mujer
2019,28,28_especies_comportamiento_machos_individuos,35,5712,0.61,28_especies_comportamiento_machos_individuos
2019,29,29_sangre_donar_donar sangre_homosexuales,19,5712,0.33,Donación de sangre y homosexualidad
2019,30,30_uganda_museveni_homosexualidad_ley,22,5712,0.39,30_uganda_museveni_homosexualidad_ley
2019,31,31_agresión_pareja_observatorio_pareja gay,49,5712,0.86,31_agresión_pareja_observatorio_pareja gay
2019,32,32_iglesia_vaticano_papa_sacerdote,16,5712,0.28,Iglesia y Vaticano
2019,33,33_protocolo_educativa_centros_identidad,35,5712,0.61,33_protocolo_educativa_centros_identidad
2019,34,34_turismo_fitur_destino_oferta,26,5712,0.46,34_turismo_fitur_destino_oferta
2019,35,35_vox_pp_lgtbi_investidura,54,5712,0.95,35_vox_pp_lgtbi_investidura
2019,36,36_literatura_novela_libro_stuart,37,5712,0.65,36_literatura_novela_libro_stuart
2019,37,37_trabajo_personas_laboral_empresas,28,5712,0.49,37_trabajo_personas_laboral_empresas
2019,38,38_psoe_lgtbi_derechos_vox,24,5712,0.42,38_psoe_lgtbi_derechos_vox
2019,39,39_marruecos_marroquí_rabat_marroquíes,5,5712,0.09,39_marruecos_marroquí_rabat_marroquíes
2019,40,40_miss_jenner_caitlyn_ángela,12,5712,0.21,40_miss_jenner_caitlyn_ángela
2019,41,41_jerusalén_israelí_israel_marcha,13,5712,0.23,41_jerusalén_israelí_israel_marcha
2019,42,42_estambul_turca_turquía_policía,18,5712,0.32,42_estambul_turca_turquía_policía
2019,43,43_madurez_menores_registro_tribunal,69,5712,1.21,43_madurez_menores_registro_tribunal
2019,44,44_agresión_transexual_policía_odio,17,5712,0.3,44_agresión_transexual_policía_odio
2019,45,45_bendición_iglesia_papa_bendiciones,4,5712,0.07,45_bendición_iglesia_papa_bendiciones
2019,46,46_vox_cogam_fiscalía_podemos,69,5712,1.21,46_vox_cogam_fiscalía_podemos
2019,47,47_cortes_abogados cristianos_castilla león_cristianos,1,5712,0.02,47_cortes_abogados cristianos_castilla león_cristianos
2019,48,48_reproducción_asistida_reproducción asistida_mujeres,21,5712,0.37,48_reproducción_asistida_reproducción asistida_mujeres
2019,49,49_mr gay_mr_gay_gay pride,21,5712,0.37,49_mr gay_mr_gay_gay pride
2019,50,50_circuit_barcelona_festival_circuit festival,18,5712,0.32,50_circuit_barcelona_festival_circuit festival
2019,51,51_ley_madrid_ayuso_trans,1,5712,0.02,51_ley_madrid_ayuso_trans
2019,53,53_italia_uniones_senado_proyecto,2,5712,0.04,53_italia_uniones_senado_proyecto
2019,54,54_deporte_declaración_declaración institucional_senador,47,5712,0.82,54_deporte_declaración_declaración institucional_senador
2019,55,55_ayuso_madrid_pp_leyes,25,5712,0.44,55_ayuso_madrid_pp_leyes
2019,56,56_nigeria_asilo_país_camerún,9,5712,0.16,56_nigeria_asilo_país_camerún
2019,57,57_burriana_libros_biblioteca_censura,1,5712,0.02,57_burriana_libros_biblioteca_censura
2019,58,58_almodóvar_cannes_extraña_pedro,1,5712,0.02,58_almodóvar_cannes_extraña_pedro
2019,59,59_itziar_letonia_castro_actriz,2,5712,0.04,59_itziar_letonia_castro_actriz
2019,60,60_ibiza_40 aniversario_carnaval_calles centro,26,5712,0.46,60_ibiza_40 aniversario_carnaval_calles centro
2019,61,61_almeida_bandera_cibeles_bandera lgtbi,26,5712,0.46,61_almeida_bandera_cibeles_bandera lgtbi
2019,62,62_detenido_yihadistas_yihadista_palmas,33,5712,0.58,62_detenido_yihadistas_yihadista_palmas
2019,63,63_irlanda_matrimonio_referéndum_dublín,10,5712,0.18,Referéndum de matrimonio en Irlanda
2019,64,64_acoso_ciento_jóvenes_escolar,14,5712,0.25,64_acoso_ciento_jóvenes_escolar
2019,65,65_metro_agresión_barcelona_guardia,48,5712,0.84,65_metro_agresión_barcelona_guardia
2019,66,66_trans_transgénero_mujer_belarra,19,5712,0.33,66_trans_transgénero_mujer_belarra
2019,68,68_electoral_junta electoral_lona_junta,6,5712,0.11,68_electoral_junta electoral_lona_junta
2019,69,69_brunéi_sultán_lapidación_adulterio,47,5712,0.82,69_brunéi_sultán_lapidación_adulterio
2019,70,70_00_concierto_100_30,26,5712,0.46,70_00_concierto_100_30
2019,71,71_pecado_papa_francisco_delito,3,5712,0.05,71_pecado_papa_francisco_delito
2019,72,72_terapias_euros_multa_coach,37,5712,0.65,72_terapias_euros_multa_coach
2019,73,73_duval_sumar_chicago_feminismo,20,5712,0.35,73_duval_sumar_chicago_feminismo
2019,74,74_homosexualidad_terapia_libro_em,27,5712,0.47,74_homosexualidad_terapia_libro_em
2019,75,75_actor_contado_silvestre_pueblo,3,5712,0.05,75_actor_contado_silvestre_pueblo
2019,77,77_bandera_ayuntamiento_lgtbi_arcoíris,14,5712,0.25,77_bandera_ayuntamiento_lgtbi_arcoíris
2019,78,78_gay games_games_valència_2026,1,5712,0.02,78_gay games_games_valència_2026
2019,79,79_colegios_vox_información_formativas,50,5712,0.88,79_colegios_vox_información_formativas
2019,80,80_españoles_iglesias_rodó_países,9,5712,0.16,80_españoles_iglesias_rodó_países
2019,81,81_paloma río_río_gimnasia_paloma,30,5712,0.53,81_paloma río_río_gimnasia_paloma
2019,82,82_modelo_secret_marca_victoria,38,5712,0.67,82_modelo_secret_marca_victoria
2019,83,83_madrid_orgullo_cogam_ciudadanos,28,5712,0.49,83_madrid_orgullo_cogam_ciudadanos
