comunidad,año,ambito,delitos
Andalucía,2018,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,19
Andalucía,2017,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,4
Andalucía,2016,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,2
Andalucía,2015,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,2
Andalucía,2014,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Andalucía,2024,IDEOLOGIA,8
Andalucía,2023,IDEOLOGIA,36
Andalucía,2022,IDEOLOGIA,17
Andalucía,2021,IDEOLOGIA,32
Andalucía,2020,IDEOLOGIA,48
Andalucía,2019,IDEOLOGIA,47
Andalucía,2018,IDEOLOGIA,46
Andalucía,2017,IDEOLOGIA,25
Andalucía,2016,IDEOLOGIA,14
Andalucía,2015,IDEOLOGIA,28
Andalucía,2014,IDEOLOGIA,0
Andalucía,2024,ISLAMOFOBIA,5
Andalucía,2023,ISLAMOFOBIA,0
Andalucía,2022,ISLAMOFOBIA,0
Andalucía,2021,ISLAMOFOBIA,0
Andalucía,2020,ISLAMOFOBIA,0
Andalucía,2019,ISLAMOFOBIA,0
Andalucía,2018,ISLAMOFOBIA,0
Andalucía,2017,ISLAMOFOBIA,0
Andalucía,2016,ISLAMOFOBIA,0
Andalucía,2015,ISLAMOFOBIA,0
Andalucía,2014,ISLAMOFOBIA,0
Andalucía,2024,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,81
Andalucía,2023,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,80
Andalucía,2022,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,68
Andalucía,2021,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,64
Andalucía,2020,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,36
Andalucía,2019,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,42
Andalucía,2018,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,36
Andalucía,2017,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,18
Andalucía,2016,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,30
Andalucía,2015,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,15
Andalucía,2014,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,188
Andalucía,2024,RACISMO/XENOFOBIA,82
Andalucía,2023,RACISMO/XENOFOBIA,137
Andalucía,2022,RACISMO/XENOFOBIA,77
Andalucía,2021,RACISMO/XENOFOBIA,54
Andalucía,2020,RACISMO/XENOFOBIA,48
Andalucía,2019,RACISMO/XENOFOBIA,71
Andalucía,2018,RACISMO/XENOFOBIA,47
Andalucía,2017,RACISMO/XENOFOBIA,64
Andalucía,2016,RACISMO/XENOFOBIA,42
Andalucía,2015,RACISMO/XENOFOBIA,50
Andalucía,2014,RACISMO/XENOFOBIA,59
Andalucía,2024,TOTAL ámbitos,223
Andalucía,2023,TOTAL ámbitos,330
Andalucía,2022,TOTAL ámbitos,207
Andalucía,2021,TOTAL ámbitos,191
Andalucía,2020,TOTAL ámbitos,156
Andalucía,2019,TOTAL ámbitos,201
Andalucía,2018,TOTAL ámbitos,165
Andalucía,2017,TOTAL ámbitos,135
Andalucía,2016,TOTAL ámbitos,152
Andalucía,2015,TOTAL ámbitos,142
Andalucía,2014,TOTAL ámbitos,297
Aragón,2024,ANTIGITANISMO,0
Aragón,2023,ANTIGITANISMO,2
Aragón,2022,ANTIGITANISMO,2
Aragón,2021,ANTIGITANISMO,0
Aragón,2020,ANTIGITANISMO,1
Aragón,2019,ANTIGITANISMO,0
Aragón,2018,ANTIGITANISMO,0
Aragón,2017,ANTIGITANISMO,0
Aragón,2016,ANTIGITANISMO,0
Aragón,2015,ANTIGITANISMO,0
Aragón,2014,ANTIGITANISMO,0
Aragón,2024,ANTISEMITISMO,1
Aragón,2023,ANTISEMITISMO,0
Aragón,2022,ANTISEMITISMO,0
Aragón,2021,ANTISEMITISMO,0
Aragón,2020,ANTISEMITISMO,0
Aragón,2019,ANTISEMITISMO,0
Aragón,2018,ANTISEMITISMO,0
Aragón,2017,ANTISEMITISMO,0
Aragón,2016,ANTISEMITISMO,0
Aragón,2015,ANTISEMITISMO,0
Aragón,2014,ANTISEMITISMO,0
Aragón,2024,APOROFOBIA,0
Aragón,2023,APOROFOBIA,0
Aragón,2022,APOROFOBIA,1
Aragón,2021,APOROFOBIA,0
Aragón,2020,APOROFOBIA,0
Aragón,2019,APOROFOBIA,0
Aragón,2018,APOROFOBIA,0
Aragón,2017,APOROFOBIA,1
Aragón,2016,APOROFOBIA,0
Aragón,2015,APOROFOBIA,2
Aragón,2014,APOROFOBIA,1
Aragón,2024,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Aragón,2023,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Aragón,2022,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Aragón,2021,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Aragón,2020,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Aragón,2019,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Aragón,2018,CREENCIAS O PRÁCTICAS RELIGIOSAS,1
Aragón,2017,CREENCIAS O PRÁCTICAS RELIGIOSAS,1
Aragón,2016,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Aragón,2015,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Aragón,2014,CREENCIAS O PRÁCTICAS RELIGIOSAS,3
Aragón,2024,DISFOBIA,2
Aragón,2023,DISFOBIA,0
Aragón,2022,DISFOBIA,0
Aragón,2021,DISFOBIA,0
Aragón,2020,DISFOBIA,2
Aragón,2019,DISFOBIA,1
Aragón,2018,DISFOBIA,0
Aragón,2017,DISFOBIA,0
Aragón,2016,DISFOBIA,11
Aragón,2015,DISFOBIA,11
Aragón,2014,DISFOBIA,1
Aragón,2024,DISCRIMINACIÓN GENERACIONAL,0
Aragón,2023,DISCRIMINACIÓN GENERACIONAL,0
Aragón,2022,DISCRIMINACIÓN GENERACIONAL,0
Aragón,2021,DISCRIMINACIÓN GENERACIONAL,1
Aragón,2020,DISCRIMINACIÓN GENERACIONAL,1
Aragón,2019,DISCRIMINACIÓN GENERACIONAL,0
Aragón,2018,DISCRIMINACIÓN GENERACIONAL,0
Aragón,2017,DISCRIMINACIÓN GENERACIONAL,0
Aragón,2016,DISCRIMINACIÓN GENERACIONAL,0
Aragón,2015,DISCRIMINACIÓN GENERACIONAL,0
Aragón,2014,DISCRIMINACIÓN GENERACIONAL,0
Aragón,2024,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2023,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2022,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2021,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2020,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,1
Aragón,2019,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2018,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2017,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2016,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2015,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2014,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Aragón,2024,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Aragón,2023,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Aragón,2022,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,1
Aragón,2021,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,5
Aragón,2020,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,1
Aragón,2019,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Aragón,2018,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,1
Aragón,2017,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Aragón,2016,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Aragón,2015,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Aragón,2014,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Aragón,2024,IDEOLOGIA,10
Aragón,2023,IDEOLOGIA,10
Aragón,2022,IDEOLOGIA,5
Aragón,2021,IDEOLOGIA,6
Aragón,2020,IDEOLOGIA,6
Aragón,2019,IDEOLOGIA,17
Aragón,2018,IDEOLOGIA,11
Aragón,2017,IDEOLOGIA,17
Aragón,2016,IDEOLOGIA,4
Aragón,2015,IDEOLOGIA,6
Aragón,2014,IDEOLOGIA,0
Aragón,2024,ISLAMOFOBIA,0
Aragón,2023,ISLAMOFOBIA,0
Aragón,2022,ISLAMOFOBIA,0
Aragón,2021,ISLAMOFOBIA,0
Aragón,2020,ISLAMOFOBIA,0
Aragón,2019,ISLAMOFOBIA,0
Aragón,2018,ISLAMOFOBIA,0
Aragón,2017,ISLAMOFOBIA,0
Aragón,2016,ISLAMOFOBIA,0
Aragón,2015,ISLAMOFOBIA,0
Aragón,2014,ISLAMOFOBIA,0
Aragón,2024,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,13
Aragón,2023,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,15
Aragón,2022,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,9
Aragón,2021,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,13
Aragón,2020,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,3
Aragón,2019,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,2
Aragón,2018,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,6
Aragón,2017,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,3
Aragón,2016,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,5
Aragón,2015,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,4
Aragón,2014,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,36
Aragón,2024,RACISMO/XENOFOBIA,24
Aragón,2023,RACISMO/XENOFOBIA,14
Aragón,2022,RACISMO/XENOFOBIA,11
Aragón,2021,RACISMO/XENOFOBIA,15
Aragón,2020,RACISMO/XENOFOBIA,10
Aragón,2019,RACISMO/XENOFOBIA,15
Aragón,2018,RACISMO/XENOFOBIA,14
Aragón,2017,RACISMO/XENOFOBIA,9
Aragón,2016,RACISMO/XENOFOBIA,8
Aragón,2015,RACISMO/XENOFOBIA,9
Aragón,2014,RACISMO/XENOFOBIA,9
Aragón,2024,TOTAL ámbitos,52
Aragón,2023,TOTAL ámbitos,41
Aragón,2022,TOTAL ámbitos,31
Aragón,2021,TOTAL ámbitos,40
Aragón,2020,TOTAL ámbitos,25
Aragón,2019,TOTAL ámbitos,37
Aragón,2018,TOTAL ámbitos,33
Aragón,2017,TOTAL ámbitos,31
Aragón,2016,TOTAL ámbitos,28
Aragón,2015,TOTAL ámbitos,32
Aragón,2014,TOTAL ámbitos,50
Asturias,2024,ANTIGITANISMO,1
Asturias,2023,ANTIGITANISMO,1
Asturias,2022,ANTIGITANISMO,0
Asturias,2021,ANTIGITANISMO,0
Asturias,2020,ANTIGITANISMO,1
Asturias,2019,ANTIGITANISMO,0
Asturias,2018,ANTIGITANISMO,0
Asturias,2017,ANTIGITANISMO,0
Asturias,2016,ANTIGITANISMO,0
Asturias,2015,ANTIGITANISMO,0
Asturias,2014,ANTIGITANISMO,0
Asturias,2024,ANTISEMITISMO,1
Asturias,2023,ANTISEMITISMO,0
Asturias,2022,ANTISEMITISMO,2
Asturias,2021,ANTISEMITISMO,1
Asturias,2020,ANTISEMITISMO,0
Asturias,2019,ANTISEMITISMO,0
Asturias,2018,ANTISEMITISMO,0
Asturias,2017,ANTISEMITISMO,1
Asturias,2016,ANTISEMITISMO,1
Asturias,2015,ANTISEMITISMO,0
Asturias,2014,ANTISEMITISMO,0
Asturias,2024,APOROFOBIA,0
Asturias,2023,APOROFOBIA,0
Asturias,2022,APOROFOBIA,1
Asturias,2021,APOROFOBIA,0
Asturias,2020,APOROFOBIA,0
Asturias,2019,APOROFOBIA,0
Asturias,2018,APOROFOBIA,0
Asturias,2017,APOROFOBIA,0
Asturias,2016,APOROFOBIA,0
Asturias,2015,APOROFOBIA,1
Asturias,2014,APOROFOBIA,0
Asturias,2024,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Asturias,2023,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Asturias,2022,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Asturias,2021,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Asturias,2020,CREENCIAS O PRÁCTICAS RELIGIOSAS,1
Asturias,2019,CREENCIAS O PRÁCTICAS RELIGIOSAS,1
Asturias,2018,CREENCIAS O PRÁCTICAS RELIGIOSAS,1
Asturias,2017,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Asturias,2016,CREENCIAS O PRÁCTICAS RELIGIOSAS,3
Asturias,2015,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Asturias,2014,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Asturias,2024,DISFOBIA,0
Asturias,2023,DISFOBIA,1
Asturias,2022,DISFOBIA,0
Asturias,2021,DISFOBIA,0
Asturias,2020,DISFOBIA,0
Asturias,2019,DISFOBIA,0
Asturias,2018,DISFOBIA,0
Asturias,2017,DISFOBIA,1
Asturias,2016,DISFOBIA,10
Asturias,2015,DISFOBIA,4
Asturias,2014,DISFOBIA,7
Asturias,2024,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2023,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2022,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2021,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2020,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2019,DISCRIMINACIÓN GENERACIONAL,1
Asturias,2018,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2017,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2016,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2015,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2014,DISCRIMINACIÓN GENERACIONAL,0
Asturias,2024,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2023,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2022,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2021,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2020,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2019,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2018,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2017,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2016,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2015,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2014,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Asturias,2024,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Asturias,2023,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,1
Asturias,2022,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,1
Asturias,2021,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Asturias,2020,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Asturias,2019,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,1
Asturias,2018,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Asturias,2017,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Asturias,2016,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Asturias,2015,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,1
Asturias,2014,DISCRIMINACIÓN POR RAZÓN DE SEXO/GÉNERO,0
Asturias,2024,IDEOLOGIA,10
Asturias,2023,IDEOLOGIA,18
Asturias,2022,IDEOLOGIA,11
Asturias,2021,IDEOLOGIA,8
Asturias,2020,IDEOLOGIA,11
Asturias,2019,IDEOLOGIA,21
Asturias,2018,IDEOLOGIA,14
Asturias,2017,IDEOLOGIA,5
Asturias,2016,IDEOLOGIA,9
Asturias,2015,IDEOLOGIA,8
Asturias,2014,IDEOLOGIA,0
Asturias,2024,ISLAMOFOBIA,0
Asturias,2023,ISLAMOFOBIA,0
Asturias,2022,ISLAMOFOBIA,0
Asturias,2021,ISLAMOFOBIA,0
Asturias,2020,ISLAMOFOBIA,0
Asturias,2019,ISLAMOFOBIA,0
Asturias,2018,ISLAMOFOBIA,0
Asturias,2017,ISLAMOFOBIA,0
Asturias,2016,ISLAMOFOBIA,0
Asturias,2015,ISLAMOFOBIA,0
Asturias,2014,ISLAMOFOBIA,0
Asturias,2024,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,9
Asturias,2023,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,10
Asturias,2022,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,9
Asturias,2021,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,10
Asturias,2020,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,1
Asturias,2019,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,6
Asturias,2018,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,5
Asturias,2017,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,2
Asturias,2016,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,1
Asturias,2015,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,1
Asturias,2014,ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO,15
Asturias,2024,RACISMO/XENOFOBIA,22
Asturias,2023,RACISMO/XENOFOBIA,39
Asturias,2022,RACISMO/XENOFOBIA,12
Asturias,2021,RACISMO/XENOFOBIA,19
Asturias,2020,RACISMO/XENOFOBIA,10
Asturias,2019,RACISMO/XENOFOBIA,7
Asturias,2018,RACISMO/XENOFOBIA,14
Asturias,2017,RACISMO/XENOFOBIA,5
Asturias,2016,RACISMO/XENOFOBIA,5
Asturias,2015,RACISMO/XENOFOBIA,5
Asturias,2014,RACISMO/XENOFOBIA,5
Asturias,2024,TOTAL ámbitos,45
Asturias,2023,TOTAL ámbitos,70
Asturias,2022,TOTAL ámbitos,36
Asturias,2021,TOTAL ámbitos,40
Asturias,2020,TOTAL ámbitos,24
Asturias,2019,TOTAL ámbitos,37
Asturias,2018,TOTAL ámbitos,34
Asturias,2017,TOTAL ámbitos,14
Asturias,2016,TOTAL ámbitos,29
Asturias,2015,TOTAL ámbitos,22
Asturias,2014,TOTAL ámbitos,27
Baleares,2024,ANTIGITANISMO,1
Baleares,2023,ANTIGITANISMO,0
Baleares,2022,ANTIGITANISMO,0
Baleares,2021,ANTIGITANISMO,0
Baleares,2020,ANTIGITANISMO,0
Baleares,2019,ANTIGITANISMO,0
Baleares,2018,ANTIGITANISMO,0
Baleares,2017,ANTIGITANISMO,0
Baleares,2016,ANTIGITANISMO,0
Baleares,2015,ANTIGITANISMO,0
Baleares,2014,ANTIGITANISMO,0
Baleares,2024,ANTISEMITISMO,1
Baleares,2023,ANTISEMITISMO,0
Baleares,2022,ANTISEMITISMO,0
Baleares,2021,ANTISEMITISMO,0
Baleares,2020,ANTISEMITISMO,0
Baleares,2019,ANTISEMITISMO,0
Baleares,2018,ANTISEMITISMO,0
Baleares,2017,ANTISEMITISMO,0
Baleares,2016,ANTISEMITISMO,0
Baleares,2015,ANTISEMITISMO,0
Baleares,2014,ANTISEMITISMO,0
Baleares,2024,APOROFOBIA,2
Baleares,2023,APOROFOBIA,0
Baleares,2022,APOROFOBIA,1
Baleares,2021,APOROFOBIA,0
Baleares,2020,APOROFOBIA,0
Baleares,2019,APOROFOBIA,0
Baleares,2018,APOROFOBIA,1
Baleares,2017,APOROFOBIA,0
Baleares,2016,APOROFOBIA,1
Baleares,2015,APOROFOBIA,1
Baleares,2014,APOROFOBIA,0
Baleares,2024,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Baleares,2023,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Baleares,2022,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Baleares,2021,CREENCIAS O PRÁCTICAS RELIGIOSAS,7
Baleares,2020,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Baleares,2019,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Baleares,2018,CREENCIAS O PRÁCTICAS RELIGIOSAS,1
Baleares,2017,CREENCIAS O PRÁCTICAS RELIGIOSAS,2
Baleares,2016,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Baleares,2015,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Baleares,2014,CREENCIAS O PRÁCTICAS RELIGIOSAS,0
Baleares,2024,DISFOBIA,0
Baleares,2023,DISFOBIA,3
Baleares,2022,DISFOBIA,0
Baleares,2021,DISFOBIA,0
Baleares,2020,DISFOBIA,0
Baleares,2019,DISFOBIA,5
Baleares,2018,DISFOBIA,1
Baleares,2017,DISFOBIA,1
Baleares,2016,DISFOBIA,6
Baleares,2015,DISFOBIA,8
Baleares,2014,DISFOBIA,8
Baleares,2024,DISCRIMINACIÓN GENERACIONAL,0
Baleares,2023,DISCRIMINACIÓN GENERACIONAL,1
Baleares,2022,DISCRIMINACIÓN GENERACIONAL,1
Baleares,2021,DISCRIMINACIÓN GENERACIONAL,0
Baleares,2020,DISCRIMINACIÓN GENERACIONAL,0
Baleares,2019,DISCRIMINACIÓN GENERACIONAL,1
Baleares,2018,DISCRIMINACIÓN GENERACIONAL,0
Baleares,2017,DISCRIMINACIÓN GENERACIONAL,0
Baleares,2016,DISCRIMINACIÓN GENERACIONAL,0
Baleares,2015,DISCRIMINACIÓN GENERACIONAL,0
Baleares,2014,DISCRIMINACIÓN GENERACIONAL,0
Baleares,2024,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,0
Baleares,2023,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,1
Baleares,2022,DISCRIMINACIÓN POR RAZÓN DE ENFERMEDAD,1
