año,mes,ccaa,siglas,nombre,votos,diputados,comunidad
2019,11,6,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,1856,0,Cantabria
2019,11,7,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,74418,0,Castilla-La Mancha
2019,11,7,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,7930,0,Castilla-La Mancha
2019,11,8,PREPAL,PARTIDO REGIONALISTA DEL PAÍS LEONÉS,941,0,Castilla y León
2019,11,9,CUP-PR,CANDIDATURA D'UNITAT POPULAR-PER LA RUPTURA,246971,2,Cataluña
2019,11,9,PCTC,PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA,2220,0,Cataluña
2019,11,9,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,5922,0,Cataluña
2019,11,10,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,45053,0,Extremadura
2019,11,11,PSdeG-PSOE,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,465026,10,Galicia
2019,11,13,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,83734,1,Navarra
2019,11,14,MÁS PAÍS-CA,MÁS PAÍS-CANDIDATURA ECOLOGISTA,8542,0,País Vasco
2019,11,14,PSE-EE (PSOE),PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (PSOE),227396,4,País Vasco
2019,11,14,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,1672,0,País Vasco
2019,11,15,SOMOS REGIÓ,SOMOS REGIÓN,2328,0,Murcia
2019,11,16,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,11673,0,La Rioja
2019,11,16,PUM+J,POR UN MUNDO MÁS JUSTO,297,0,La Rioja
2019,11,17,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,196265,2,Comunidad Valenciana
2019,11,17,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,2688,0,Comunidad Valenciana
2019,11,2,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,500,0,Aragón
2019,11,3,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,37374,0,Asturias
2019,11,4,MÉS-ESQUERR,MÉS ESQUERRA,18295,0,Baleares
2019,11,4,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,6207,0,Baleares
2019,11,7,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,195,0,Castilla-La Mancha
2019,11,7,PUM+J,POR UN MUNDO MÁS JUSTO,1933,0,Castilla-La Mancha
2019,11,8,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,105200,0,Castilla y León
2019,11,8,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,173,0,Castilla y León
2019,11,8,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,223,0,Castilla y León
2019,11,8,PUM+J,POR UN MUNDO MÁS JUSTO,2471,0,Castilla y León
2019,11,11,PUM+J,POR UN MUNDO MÁIS XUSTO/POR UN MUNDO MÁS JUSTO,1582,0,Galicia
2019,11,12,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,323076,3,Madrid
2019,11,12,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,31983,0,Madrid
2019,11,13,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,965,0,Navarra
2019,11,14,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,7005,0,País Vasco
2019,11,14,PUM+J,BIDEZKO MUNDURANTZ-POR UN MUNDO MÁS JUSTO,1221,0,País Vasco
2019,11,15,CONTIGO,CONTIGO SOMOS DEMOCRACIA,317,0,Murcia
2019,11,15,MÁS PAÍS-EQ,MÁS PAÍS-EQUO,13439,0,Murcia
2019,11,18,MDyC,MOVIMIENTO POR LA DIGNIDAD Y LA CIUDADANÍA DE CEUT,819,0,Ceuta
2019,11,1,PCPA,PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,3439,0,Andalucía
2019,11,1,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,2157,0,Andalucía
2019,11,1,PODEMOS-IU LV CA,UNIDAS PODEMOS,559628,6,Andalucía
2019,11,2,CHA,CHUNTA ARAGONESISTA,2000,0,Aragón
2019,11,3,PUM+J,POR UN MUNDO MÁS JUSTO,487,0,Asturias
2019,11,3,VOX,VOX,88788,1,Asturias
2019,11,5,AHORA CANARIAS,AHORA CANARIAS: Alternativa Nacionalista Canaria (ANC) y Unidad del Pueblo,2032,0,Canarias
2019,11,6,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,232,0,Cantabria
2019,11,7,FE de las J,FALANGE ESPAÑOLA DE LAS JONS,188,0,Castilla-La Mancha
2019,11,7,PP,PARTIDO POPULAR,292212,7,Castilla-La Mancha
2019,11,9,PP,PARTIDO POPULAR,287714,2,Cataluña
2019,11,10,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,1016,0,Extremadura
2019,11,12,MÁS PAÍS-EQ,MÁS PAÍS-EQUO,201389,2,Madrid
2019,11,12,PCTE,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,1895,0,Madrid
2019,11,12,PH,PARTIDO HUMANISTA,2508,0,Madrid
2019,11,16,PP,PARTIDO POPULAR,56450,2,La Rioja
2019,11,17,AUNACV,AUNA COMUNITAT VALENCIANA,572,0,Comunidad Valenciana
2019,11,17,MÉS COMPROM,MÉS COMPROMÍS,176287,1,Comunidad Valenciana
2019,11,17,PCOE,PARTIDO COMUNISTA OBRERO ESPAÑOL,379,0,Comunidad Valenciana
2019,11,17,UNIDOS SÍ-A,UNIDOS Actuando por la Democracia,1067,0,Comunidad Valenciana
2019,11,17,VOX,VOX,468134,7,Comunidad Valenciana
2019,11,19,PODEMOS-IU,UNIDAS PODEMOS,809,0,Melilla
2019,11,1,RECORTES CERO-GV,RECORTES CERO-GRUPO VERDE,6045,0,Andalucía
2019,11,2,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,59977,0,Aragón
2019,11,2,¡TERUEL EXI,"AGRUPACIÓN DE ELECTORES ""TERUEL EXISTE""",19761,1,Aragón
2019,11,2,UDT,UNIÓN DE TODOS,26,0,Aragón
2019,11,4,PUM+J,POR UN MUNDO MÁS JUSTO,573,0,Baleares
2019,11,6,Cs,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,15609,0,Cantabria
2019,11,6,PP,PARTIDO POPULAR,84583,2,Cantabria
2019,11,8,PODEMOS-IU,UNIDAS PODEMOS,129681,0,Castilla y León
2019,11,8,RECORTES CERO-GV-PCAS-TC,RECORTES CERO-GRUPO VERDE-PARTIDO CASTELLANO-TIERRA COMUNERA,2499,0,Castilla y León
2019,11,9,PSC-PSOE,PARTIT DELS SOCIALISTES DE CATALUNYA,794666,12,Cataluña
2019,11,12,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,2099,0,Madrid
2019,11,13,GBAI,GEROA BAI,12709,0,Navarra
2019,11,13,PUM+J,POR UN MUNDO MÁS JUSTO/BIDEZKO MUNDURANTZ,928,0,Navarra
2019,11,15,DPL,DEMOCRACIA PLURAL,214,0,Murcia
2019,11,15,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,490,0,Murcia
2019,11,16,EB,ESCAÑOS EN BLANCO,425,0,La Rioja
2019,11,17,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,27295,0,Comunidad Valenciana
2019,11,18,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,10455,0,Ceuta
2019,11,19,PP,PARTIDO POPULAR,9136,1,Melilla
