categoria_revision,año_video,canal,titulo_video,texto,nivel_manual,expresion_detectada,observaciones
inmigracion,2019,DMAX España,La dictadura franquista a ojos de la comunidad internacional | España después de la Guerra,El 8. Puedto Mundial. España. Era respetada. Ahora. Somos. No de lo que somos. Me da ganas de llorar de Rabia. Con este Gobierno corrupto. Y Europa. Va a lo suyo.espero que gabe la derecha en Europa. Asi cambiarian las cosas. Y Sanchez y su camarilla fuera.,,,
inmigracion,2019,El Mundo,Un día con Santiago Abascal (Vox) en la Granada &#39;reconquistada&#39;,"Eutanasia: ""nosotros nos fijamos en la gente que está sufriendo pero quiere seguir viviendo"", la eutanasia implica per sé el consentimiento del afectado. El legalizar un procedimiento para que voluntariamente aquel que lo desee (en condiciones médicas irreversibles y concretas) pueda terminar con su sufrimiento de una manera y en un momento digno no va a incitar a la gente a suicidarse.. el ir ciego ""en pos de la vida"" es también ir en contra de la libertad y el dolor de mucha gente.

Respecto al resto del documental no tengo nada que decir, no estoy de acuerdo con muchas cosas pero al menos Vox va de frente, el que comulgue con sus ideas que les vote.",,,
inmigracion,2019,LibertadDigital,Vox pide construir un muro en la frontera con Marruecos,"Maroc
Uojda
🤣🤣🤣👉🖕🖕🖕
🦁🇲🇦
🐷🐖🇪🇸😷😷Vox🤣🤣🤣",,,
inmigracion,2019,VOX España,⚡ Santiago Abascal destroza a Pedro Sánchez en el Congreso,Hola Todos👍,,,
inmigracion,2019,DMAX España,Así era la situación de España justo después de la guerra | España después de la Guerra,Tenéis que subirlos enteros,,,
inmigracion,2019,COPE,"Herrera entrevista a Santiago Abascal, presidente de Vox",Arriba vox y España bravo 👏 todos los españoles con vox 💚 💚 💚 💚 💚,,,
inmigracion,2019,VOX España,Abrumador apoyo a VOX y Santiago Abascal en Guadalajara,No sabía que Abascal fue de visita a México :v,,,
inmigracion,2019,VOX España,Santiago Abascal denuncia en el Congreso la pasividad con la inmigración masiva.,"Ahora vas y lo comentas, si señor, muy bien dicho",,,
inmigracion,2015,DW Español,"Francia: musulmanes, no gracias | Enfoque Europa",Que se vaya a su pais para que practiquen sus tradiciones..,,,
inmigracion,2019,Realidades Con Clau,¡LA CANCIÓN QUE HACE LLORAR A INMIGRANTES! &quot;Alex Rivera&quot; &quot;Pedro Rivera&quot; &quot;La Carta&quot; &quot;El Inmigrante&quot;,"Y muchos aveces ya ni llegamos a ver a nuestros seres queridos , nos perdemos de tantas cosas importantes en nuestra familia , la convivencia , con la familia , que soledad saludes a todos bendiciones gente linda de Guatemala",,,
inmigracion,2019,laSexta,El papa Francisco reflexiona sobre inmigración con una concertina en la mano - Salvados,"HUNGRÍA PONE CONCERTINAS A LO LARGO DR TODA SU VALLA, Y ESTÁ MUY BIEN, PARA PREVENIR EL INGRESO DE LA DELINCUENCIA",,,
inmigracion,2023,The Wild Project,¿Es España un país racista?,Es un poco gracioso qué me salga esto después de ver el Rewind xd,,,
inmigracion,2023,David Placer,GALICIA busca MIGRANTES y les ofrece ¡TRABAJO FIJO!,Soy esposa de un nieto de Español.  Somos cubanos. Nosotros estamos iniciando los trámites de ciudadanía española. El abuelo eres de  Oviedo,,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;A los MENAS hay que expulsarlos&quot; - El Hormiguero 3.0,No traigas mas a este hombre,,,
inmigracion,2019,El Mundo,Un día con Santiago Abascal (Vox) en la Granada &#39;reconquistada&#39;,Jajajajajaja Junqueras y la Generalidad,,,
inmigracion,2023,The Wild Project,¿Es España un país racista?,En su pais no se queja a sus politicos por no poder estudiar...no entiendo nada,,,
inmigracion,2019,VOX España,Santiago Abascal denuncia en el Congreso la pasividad con la inmigración masiva.,"Presidente, presidente!!!!!",,,
inmigracion,2019,VOX España,Santiago Abascal denuncia en el Congreso la pasividad con la inmigración masiva.,Santi te estás bajando los pantalones 👖 en la comunidad de madrid se incrementó el gasto público más de un 40% y no pasa nada,,,
inmigracion,2023,Quique Vasquez Historias de Migrantes,Así es vivir en España para inmigrantes 😨No es como la pintan OJO a estos TÉSTIMONIOS  🤔,Los españoles no tenemos la vida fácil para nada!!!!,,,
inmigracion,2019,Antena 3,Santiago Abascal: &quot;VOX no tiene una posición sobre Franco&quot; - El Hormiguero 3.0,Qué bueno es Abascal que consiguió un simpatizante más de su partido jajaj,,,
inmigracion,2019,VOX España,Colosal réplica de Santiago Abascal en la tribuna del Congreso 💪🇪🇸,Trankilo señor abascal cada día somos más y la verdad y el bien siempre gana al mal,,,
inmigracion,2019,La Nicoteca,🤔🤔🤔AYUDAS A INMIGRANTES EN ESPAÑA - La Nicoteca,la misma nota de voz con wassap me llegó a mí,,,
