comunidad,indicador,año,valor
Navarra,Desigualdad (S80/S20),2019,3.9
Navarra,Desigualdad (S80/S20),2018,4.1
Navarra,Desigualdad (S80/S20),2017,4.4
Navarra,Desigualdad (S80/S20),2016,4.6
Navarra,Desigualdad (S80/S20),2015,4.8
Navarra,Desigualdad (S80/S20),2014,4.9
Navarra,Desigualdad (S80/S20),2013,4.5
Navarra,Desigualdad (S80/S20),2012,4.8
Navarra,Desigualdad (S80/S20),2011,4.7
Navarra,Desigualdad (S80/S20),2010,5.3
Navarra,Desigualdad (S80/S20),2009,4.7
Navarra,Desigualdad (S80/S20),2008,4.2
Navarra,Gini,2025,29.2
Navarra,Gini,2024,30.7
Navarra,Gini,2023,30.1
Navarra,Gini,2022,30.0
Navarra,Gini,2021,28.7
Navarra,Gini,2020,27.3
Navarra,Gini,2019,24.3
Navarra,Gini,2018,24.7
Navarra,Gini,2017,26.5
Navarra,Gini,2016,27.7
Navarra,Gini,2015,26.2
Navarra,Gini,2014,28.1
Navarra,Gini,2013,28.3
Navarra,Gini,2012,30.3
Navarra,Gini,2011,29.9
Navarra,Gini,2010,30.5
Navarra,Gini,2009,28.7
Navarra,Gini,2008,27.2
País Vasco,Desigualdad (S80/S20),2025,4.6
País Vasco,Desigualdad (S80/S20),2024,4.7
País Vasco,Desigualdad (S80/S20),2023,5.0
País Vasco,Desigualdad (S80/S20),2022,5.0
País Vasco,Desigualdad (S80/S20),2021,5.0
País Vasco,Desigualdad (S80/S20),2020,4.8
País Vasco,Desigualdad (S80/S20),2019,5.3
País Vasco,Desigualdad (S80/S20),2018,5.1
País Vasco,Desigualdad (S80/S20),2017,5.1
País Vasco,Desigualdad (S80/S20),2016,5.0
País Vasco,Desigualdad (S80/S20),2015,5.4
País Vasco,Desigualdad (S80/S20),2014,5.2
País Vasco,Desigualdad (S80/S20),2013,5.2
País Vasco,Desigualdad (S80/S20),2012,6.5
País Vasco,Desigualdad (S80/S20),2011,6.3
País Vasco,Desigualdad (S80/S20),2010,6.1
País Vasco,Desigualdad (S80/S20),2009,5.2
País Vasco,Desigualdad (S80/S20),2008,4.8
País Vasco,Gini,2025,28.4
País Vasco,Gini,2024,29.1
País Vasco,Gini,2023,30.1
País Vasco,Gini,2022,29.4
País Vasco,Gini,2021,29.3
País Vasco,Gini,2020,28.8
País Vasco,Gini,2019,29.4
País Vasco,Gini,2018,30.0
País Vasco,Gini,2017,29.6
País Vasco,Gini,2016,29.1
País Vasco,Gini,2015,30.2
País Vasco,Gini,2014,29.3
País Vasco,Gini,2013,29.5
País Vasco,Gini,2012,31.9
País Vasco,Gini,2011,32.6
País Vasco,Gini,2010,31.6
País Vasco,Gini,2009,30.2
País Vasco,Gini,2008,29.6
La Rioja,Desigualdad (S80/S20),2025,4.8
La Rioja,Desigualdad (S80/S20),2024,4.8
La Rioja,Desigualdad (S80/S20),2023,4.6
La Rioja,Desigualdad (S80/S20),2022,4.8
La Rioja,Desigualdad (S80/S20),2021,5.1
La Rioja,Desigualdad (S80/S20),2020,4.7
La Rioja,Desigualdad (S80/S20),2019,5.0
La Rioja,Desigualdad (S80/S20),2018,5.7
La Rioja,Desigualdad (S80/S20),2017,4.5
