Comunidades y ciudades autónomas;Sexo;Nacionalidad;País de nacimiento;Periodo;Total
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2022;230.814
04 Balears, Illes;Total;Extranjera;Total;1 de octubre de 2021;229.912
04 Balears, Illes;Total;Extranjera;Total;1 de julio de 2021;228.204
04 Balears, Illes;Total;Extranjera;Total;1 de abril de 2021;227.733
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2021;228.749
04 Balears, Illes;Total;Extranjera;Total;1 de octubre de 2020;""
04 Balears, Illes;Total;Extranjera;Total;1 de julio de 2020;227.215
04 Balears, Illes;Total;Extranjera;Total;1 de abril de 2020;""
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2020;224.688
04 Balears, Illes;Total;Extranjera;Total;1 de octubre de 2019;""
04 Balears, Illes;Total;Extranjera;Total;1 de julio de 2019;218.283
04 Balears, Illes;Total;Extranjera;Total;1 de abril de 2019;""
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2019;211.949
04 Balears, Illes;Total;Extranjera;Total;1 de octubre de 2018;""
04 Balears, Illes;Total;Extranjera;Total;1 de julio de 2018;207.303
04 Balears, Illes;Total;Extranjera;Total;1 de abril de 2018;""
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2018;202.905
04 Balears, Illes;Total;Extranjera;Total;1 de octubre de 2017;""
04 Balears, Illes;Total;Extranjera;Total;1 de julio de 2017;198.881
04 Balears, Illes;Total;Extranjera;Total;1 de abril de 2017;""
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2017;196.235
04 Balears, Illes;Total;Extranjera;Total;1 de octubre de 2016;""
04 Balears, Illes;Total;Extranjera;Total;1 de julio de 2016;196.280
04 Balears, Illes;Total;Extranjera;Total;1 de abril de 2016;""
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2016;196.534
04 Balears, Illes;Total;Extranjera;Total;1 de octubre de 2015;""
04 Balears, Illes;Total;Extranjera;Total;1 de julio de 2015;196.884
04 Balears, Illes;Total;Extranjera;Total;1 de abril de 2015;""
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2015;197.914
04 Balears, Illes;Total;Extranjera;Total;1 de octubre de 2014;""
04 Balears, Illes;Total;Extranjera;Total;1 de julio de 2014;199.806
04 Balears, Illes;Total;Extranjera;Total;1 de abril de 2014;""
04 Balears, Illes;Total;Extranjera;Total;1 de enero de 2014;204.677
05 Canarias;Total;Extranjera;Total;1 de enero de 2025;342.612
05 Canarias;Total;Extranjera;Total;1 de octubre de 2024;339.313
05 Canarias;Total;Extranjera;Total;1 de julio de 2024;334.935
05 Canarias;Total;Extranjera;Total;1 de abril de 2024;331.992
05 Canarias;Total;Extranjera;Total;1 de enero de 2024;329.352
05 Canarias;Total;Extranjera;Total;1 de octubre de 2023;325.362
05 Canarias;Total;Extranjera;Total;1 de julio de 2023;323.298
05 Canarias;Total;Extranjera;Total;1 de abril de 2023;320.075
05 Canarias;Total;Extranjera;Total;1 de enero de 2023;314.523
05 Canarias;Total;Extranjera;Total;1 de octubre de 2022;308.136
05 Canarias;Total;Extranjera;Total;1 de julio de 2022;302.062
05 Canarias;Total;Extranjera;Total;1 de abril de 2022;296.194
05 Canarias;Total;Extranjera;Total;1 de enero de 2022;292.401
05 Canarias;Total;Extranjera;Total;1 de octubre de 2021;288.960
05 Canarias;Total;Extranjera;Total;1 de julio de 2021;287.978
05 Canarias;Total;Extranjera;Total;1 de abril de 2021;289.406
05 Canarias;Total;Extranjera;Total;1 de enero de 2021;288.983
05 Canarias;Total;Extranjera;Total;1 de octubre de 2020;""
05 Canarias;Total;Extranjera;Total;1 de julio de 2020;292.518
05 Canarias;Total;Extranjera;Total;1 de abril de 2020;""
05 Canarias;Total;Extranjera;Total;1 de enero de 2020;288.545
05 Canarias;Total;Extranjera;Total;1 de octubre de 2019;""
05 Canarias;Total;Extranjera;Total;1 de julio de 2019;280.836
05 Canarias;Total;Extranjera;Total;1 de abril de 2019;""
05 Canarias;Total;Extranjera;Total;1 de enero de 2019;273.032
05 Canarias;Total;Extranjera;Total;1 de octubre de 2018;""
05 Canarias;Total;Extranjera;Total;1 de julio de 2018;266.331
05 Canarias;Total;Extranjera;Total;1 de abril de 2018;""
05 Canarias;Total;Extranjera;Total;1 de enero de 2018;260.046
05 Canarias;Total;Extranjera;Total;1 de octubre de 2017;""
05 Canarias;Total;Extranjera;Total;1 de julio de 2017;254.060
05 Canarias;Total;Extranjera;Total;1 de abril de 2017;""
05 Canarias;Total;Extranjera;Total;1 de enero de 2017;250.586
05 Canarias;Total;Extranjera;Total;1 de octubre de 2016;""
05 Canarias;Total;Extranjera;Total;1 de julio de 2016;247.894
05 Canarias;Total;Extranjera;Total;1 de abril de 2016;""
05 Canarias;Total;Extranjera;Total;1 de enero de 2016;249.385
05 Canarias;Total;Extranjera;Total;1 de octubre de 2015;""
05 Canarias;Total;Extranjera;Total;1 de julio de 2015;250.309
05 Canarias;Total;Extranjera;Total;1 de abril de 2015;""
05 Canarias;Total;Extranjera;Total;1 de enero de 2015;254.015
05 Canarias;Total;Extranjera;Total;1 de octubre de 2014;""
05 Canarias;Total;Extranjera;Total;1 de julio de 2014;255.708
05 Canarias;Total;Extranjera;Total;1 de abril de 2014;""
05 Canarias;Total;Extranjera;Total;1 de enero de 2014;261.574
06 Cantabria;Total;Extranjera;Total;1 de enero de 2025;48.359
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2024;47.376
06 Cantabria;Total;Extranjera;Total;1 de julio de 2024;46.197
06 Cantabria;Total;Extranjera;Total;1 de abril de 2024;45.421
06 Cantabria;Total;Extranjera;Total;1 de enero de 2024;44.760
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2023;43.627
06 Cantabria;Total;Extranjera;Total;1 de julio de 2023;42.615
06 Cantabria;Total;Extranjera;Total;1 de abril de 2023;42.393
06 Cantabria;Total;Extranjera;Total;1 de enero de 2023;41.711
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2022;40.342
06 Cantabria;Total;Extranjera;Total;1 de julio de 2022;38.886
06 Cantabria;Total;Extranjera;Total;1 de abril de 2022;37.804
06 Cantabria;Total;Extranjera;Total;1 de enero de 2022;36.924
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2021;36.245
06 Cantabria;Total;Extranjera;Total;1 de julio de 2021;35.707
06 Cantabria;Total;Extranjera;Total;1 de abril de 2021;35.747
06 Cantabria;Total;Extranjera;Total;1 de enero de 2021;35.812
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2020;""
06 Cantabria;Total;Extranjera;Total;1 de julio de 2020;35.358
06 Cantabria;Total;Extranjera;Total;1 de abril de 2020;""
06 Cantabria;Total;Extranjera;Total;1 de enero de 2020;34.506
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2019;""
06 Cantabria;Total;Extranjera;Total;1 de julio de 2019;33.441
06 Cantabria;Total;Extranjera;Total;1 de abril de 2019;""
06 Cantabria;Total;Extranjera;Total;1 de enero de 2019;32.133
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2018;""
06 Cantabria;Total;Extranjera;Total;1 de julio de 2018;31.226
06 Cantabria;Total;Extranjera;Total;1 de abril de 2018;""
06 Cantabria;Total;Extranjera;Total;1 de enero de 2018;30.475
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2017;""
06 Cantabria;Total;Extranjera;Total;1 de julio de 2017;29.794
06 Cantabria;Total;Extranjera;Total;1 de abril de 2017;""
06 Cantabria;Total;Extranjera;Total;1 de enero de 2017;29.301
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2016;""
06 Cantabria;Total;Extranjera;Total;1 de julio de 2016;29.155
06 Cantabria;Total;Extranjera;Total;1 de abril de 2016;""
06 Cantabria;Total;Extranjera;Total;1 de enero de 2016;29.869
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2015;""
06 Cantabria;Total;Extranjera;Total;1 de julio de 2015;30.179
06 Cantabria;Total;Extranjera;Total;1 de abril de 2015;""
06 Cantabria;Total;Extranjera;Total;1 de enero de 2015;30.767
06 Cantabria;Total;Extranjera;Total;1 de octubre de 2014;""
06 Cantabria;Total;Extranjera;Total;1 de julio de 2014;31.412
06 Cantabria;Total;Extranjera;Total;1 de abril de 2014;""
06 Cantabria;Total;Extranjera;Total;1 de enero de 2014;32.741
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2025;203.169
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2024;196.214
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2024;190.160
07 Castilla y León;Total;Extranjera;Total;1 de abril de 2024;187.286
07 Castilla y León;Total;Extranjera;Total;1 de enero de 2024;184.135
07 Castilla y León;Total;Extranjera;Total;1 de octubre de 2023;179.112
07 Castilla y León;Total;Extranjera;Total;1 de julio de 2023;174.290
