palabra,frecuencia
sueldo,34
tierra,34
futuro,34
mensaje,34
iban,34
horas,34
integracion,33
modo,33
ganas,33
supone,33
publica,33
nueva,33
ayudar,33
dejan,33
identidad,33
gitanos,33
valores,33
ministerio,33
derechas,33
cerca,33
politico,33
entra,33
pide,33
venido,32
servicios,32
islam,32
arbitro,32
directamente,32
hermano,32
palabra,32
pregunta,32
sirio,32
idea,32
cuatro,32
refugees,32
condiciones,32
chaval,32
puerta,32
siguen,32
racismo,32
empresa,32
conseguir,32
raza,32
irse,32
queja,32
violencia,32
manda,32
meten,32
barcelona,31
jamas,31
existen,31
llevar,31
temas,31
viendo,31
dddddddddddddddddddddddddddddddddddddddddddddddddd,31
masiva,31
futbol,31
discriminacion,31
supongo,31
eeuu,31
cuento,31
pareja,31
post,31
espanolas,31
conozco,31
propio,30
haces,30
propios,30
colegio,30
centros,30
obra,30
bienestar,30
cambiar,30
nacionales,30
mantener,30
opcion,30
vete,30
acogida,30
comentario,30
macho,30
cree,30
frontera,30
cuestion,30
porcentaje,30
apoyo,30
comunidad,30
seas,30
menuda,30
recibir,30
mar,29
perder,29
estaria,29
homosexualidad,29
exactamente,29
comida,29
visado,29
nazis,29
cataluna,29
gasto,29
coche,29
fuese,29
bla,29
deben,29
pensando,29
creer,29
videojuegos,29
padre,29
viviendo,29
quedar,29
izquierdas,29
inclusivo,29
tenian,29
articulo,29
propia,29
intentar,29
ultraderecha,29
cualquiera,29
internet,29
lgtb,29
racistas,29
varias,29
negocio,28
barrio,28
pro,28
partir,28
mandaba,28
clases,28
buscar,28
adelante,28
trabajan,28
teneis,28
cuerpo,28
queria,28
hizo,28
matrimonio,28
llamada,28
comun,28
paz,28
importante,28
veras,28
alguno,28
transexual,28
sacar,28
trabajadores,28
hostia,28
renta,28
subnormales,28
importa,28
hambre,28
ojos,28
duda,28
empleo,28
venezolanos,27
curioso,27
dando,27
mia,27
europea,27
mio,27
permiso,27
esten,27
dejo,27
seis,27
pesar,27
creen,27
manos,27
atencion,27
contrato,27
llegado,26
hora,26
cantidad,26
salarios,26
ricos,26
desagradecido,26
aparte,26
teniendo,26
largo,26
queremos,26
siquiera,26
ciudad,26
podia,26
escoria,26
busca,26
extrema,26
quedan,26
lgtbi,26
experiencia,26
sabemos,26
trabajando,26
normales,26
echar,26
motivos,26
baja,26
violadores,26
imagen,26
llama,26
costumbres,26
unica,26
arriba,25
cursos,25
estudios,25
quedado,25
usa,25
pueblos,25
occidente,25
merkel,25
gastos,25
estudiar,25
noche,25
tarde,25
disfrutar,25
dijo,25
entran,25
hablas,25
precio,25
medidas,25
votantes,25
zona,25
motivo,25
metido,25
jilo,25
economicos,25
fundacion,25
gustan,25
piensa,25
quita,25
alta,25
vota,24
ongs,24
insultos,24
casas,24
barcos,24
muerte,24
buscando,24
hacerlo,24
the,24
heterosexuales,24
calidad,24
lista,24
siglo,24
homofobo,24
acoger,24
humano,24
actual,24
virginidad,24
economica,24
moral,24
suelen,24
doble,24
cobrar,24
gobiernos,24
fuerte,24
refiero,24
aquellos,24
violaciones,24
toca,24
trafico,24
seres,24
elecciones,24
pones,24
sueldos,24
crear,24
ideologia,24
nuestras,24
aquel,23
respetar,23
dano,23
vuelve,23
primeros,23
abrir,23
blanco,23
estadisticas,23
consecuencias,23
segundo,23
tonterias,23
matar,23
pequena,23
palo,23
dejado,23
aportan,23
orientacion,23
this,23
menor,23
absolutamente,23
hablo,23
ninguno,23
salvo,23
capital,23
patada,23
mentira,23
feliz,23
personal,23
miseria,23
poca,23
fondo,23
escribir,23
mejores,23
comentarios,23
indice,23
darle,23
humanos,23
diferente,23
seguramente,23
trabaja,23
alquiler,23
completamente,23
pire,23
sobra,23
apenas,22
viva,22
perdido,22
estados,22
pisos,22
mirar,22
ciudades,22
calles,22
troll,22
significa,22
haria,22
familiar,22
efecto,22
delinquir,22
excusa,22
fuentes,22
programa,22
cierre,22
grave,22
llegada,22
daba,22
podrian,22
detras,22
par,22
integrarse,22
zonas,22
vista,22
imponer,22
ganar,22
relaciones,22
tercermundista,22
nacido,22
naturaleza,22
sinceramente,22
pidiendo,22
medida,22
campo,22
querer,22
publicos,22
muertos,22
hayan,22
hicieron,22
trabajos,22
actualmente,22
gustaria,22
oye,22
arabes,22
sexualidad,22
fake,22
diario,22
doy,22
perfectamente,22
tranquilo,22
pase,22
heterosexual,22
argumento,22
democracia,22
jode,22
condicion,22
barrios,22
raro,21
hacemos,21
saco,21
armas,21
sumar,21
ven,21
entrevista,21
joven,21
argumentos,21
orden,21
acabar,21
desgracia,21
empezar,21
anterior,21
asociaciones,21
gracia,21
peninsula,21
delante,21
lleven,21
tantos,21
natural,21
franco,21
objetivo,21
pagan,21
habeis,21
llaman,21
invasion,21
desagradecidos,21
iglesias,21
bombas,21
extrana,21
ultimos,21
gusto,21
requisitos,21
necesita,21
huyendo,21
hablan,21
quieras,21
piensan,21
simple,21
web,21
permitir,21
quejan,21
personaje,21
migrantes,21
robar,21
mayores,21
retrasado,20
pasan,20
ridiculo,20
ignorados,20
acaso,20
ocurre,20
puestos,20
cometen,20
voz,20
europeo,20
twitter,20
tendria,20
publicas,20
empieza,20
pie,20
recuerdo,20
montero,20
sol,20
parados,20
senor,20
civil,20
ojo,20
iglesia,20
ostia,20
tercer,20
enfermos,20
vuestro,20
capaz,20
resulta,20
huyen,20
tios,20
pension,20
presidente,20
necesario,20
politicamente,20
quedo,20
lobby,20
matricula,20
lucha,20
pagando,20
imposible,20
hetero,20
salga,20
musulmana,19
cinco,19
quitar,19
ponga,19
votando,19
acabe,19
isis,19
arabia,19
tendran,19
sangre,19
delinquen,19
chorradas,19
chavales,19
subvenciones,19
chico,19
interior,19
salido,19
piden,19
jajajaja,19
diran,19
interesante,19
norte,19
fachas,19
cabron,19
retraso,19
tendra,19
uso,19
segunda,19
muerto,19
tercermundistas,19
llego,19
cuesta,19
irak,19
homofobos,19
mundial,19
listo,19
contratar,19
quejarse,19
fueran,19
esperar,19
dies,19
presos,19
nota,19
soros,19
acaba,19
currar,19
droga,19
carceles,19
llevo,19
habitantes,18
damos,18
guerras,18
jodido,18
elegir,18
terroristas,18
mentales,18
arbitros,18
ayer,18
malos,18
chupar,18
llamen,18
beneficios,18
diferentes,18
pongo,18
cientos,18
vivo,18
aportar,18
open,18
sacan,18
cerrado,18
fascista,18
gorda,18
avion,18
formacion,18
roban,18
discurso,18
encuentra,18
millon,18
libre,18
pensamiento,18
cobran,18
propaganda,18
espera,18
decision,18
luz,18
mismas,18
evitar,18
seran,18
fuerza,18
contar,18
pelo,18
sexta,18
tasa,18
decia,18
cero,18
legales,18
generacion,18
natalidad,18
luchar,18
aislados,18
iran,17
feminismo,17
occidental,17
sirve,17
pagina,17
exigir,17
pienso,17
suelo,17
siga,17
capacidad,17
principio,17
dura,17
ayuso,17
solicitar,17
valencia,17
absoluta,17
atras,17
insultan,17
llorando,17
siente,17
contigo,17
perfecto,17
esperando,17
viaje,17
evidentemente,17
pregunto,17
aportado,17
depende,17
paliza,17
amor,17
barata,17
podra,17
estilo,17
afganistan,17
enfermo,17
colectivos,17
instituto,17
homofobia,17
llamar,17
vienes,17
pronto,17
dato,17
antecedentes,17
comunicacion,17
explico,17
interes,17
nie,17
aprender,17
trato,17
considero,17
jodas,17
irene,17
union,17
evidente,17
marroquies,17
campos,17
tia,17
miembros,17
necesitan,17
parar,17
orgullo,17
pene,17
vivido,17
siguiente,17
sabia,17
entren,17
encontrado,17
bote,17
guste,17
sigan,17
cerebro,17
comunidades,17
oferta,17
alrededor,17
campana,17
logica,16
sigo,16
falso,16
burbuja,16
repito,16
ambos,16
lleno,16
cambia,16
tengas,16
mugre,16
serian,16
absurdo,16
manutencion,16
importancia,16
suena,16
podemitas,16
bastantes,16
alemanes,16
hago,16
tuyo,16
oprimido,16
bandera,16
locos,16
termino,16
asunto,16
quereis,16
pagado,16
concreto,16
recibe,16
saudi,16
proteccion,16
banco,16
violar,16
gitano,16
sanchez,16
pequeno,16
owned,16
ultima,16
suecos,16
bulo,16
error,16
senores,16
adoctrinamiento,16
regla,16
quizas,16
curso,16
cifras,16
empresarios,16
ingles,16
recibido,16
obvio,16
pongan,16
posibilidad,16
limite,16
suyo,16
parasitos,16
positiva,16
basicamente,16
mariquita,16
venezuela,16
convivencia,16
vecinos,16
curro,16
judios,16
turno,16
nacionalidades,16
gilipolleces,16
organizaciones,16
nuevos,16
arms,16
camino,16
ignorante,16
cancer,16
sitios,16
salio,16
bienvenido,16
necesidad,16
beneficio,16
alto,16
acceso,16
explicar,15
feminazis,15
ingresos,15
votan,15
saludo,15
encuentro,15
estrellas,15
quedarse,15
canaria,15
gilipollez,15
chiringuitos,15
llamado,15
dolares,15
sabiendo,15
hubiese,15
unidos,15
grupos,15
sigues,15
zapatero,15
nazi,15
caritas,15
votante,15
imagino,15
debajo,15
viviendas,15
decadas,15
independientemente,15
junto,15
diez,15
entendido,15
pollas,15
vecino,15
pablo,15
debemos,15
llena,15
pagas,15
cuales,15
lamentable,15
habido,15
capitalismo,15
querian,15
vives,15
nuevas,15
movimiento,15
via,15
comprar,15
agradecido,15
lleguen,15
etnia,15
cifra,15
digas,15
documento,15
hubo,15
feministas,15
china,15
venia,15
puertas,15
libia,15
maricones,15
rico,15
sector,15
papa,15
minutos,15
delincuente,15
alerta,15
sudamericanos,15
basta,15
broma,15
robos,15
medico,15
perdon,15
bilis,15
efectivamente,15
tendrian,15
tanta,15
hoteles,15
quede,15
afecta,15
montar,15
iberos,15
practicamente,14
mediante,14
forero,14
atentados,14
multas,14
suele,14
situaciones,14
puro,14
funciona,14
habran,14
opciones,14
hacerse,14
enlace,14
barato,14
cuidado,14
pensado,14
victima,14
hija,14
considera,14
razones,14
escuela,14
fiesta,14
cis,14
enfermedad,14
hierro,14
compania,14
justo,14
chica,14
ocupacion,14
debate,14
extranjera,14
puerto,14
hostias,14
inmensa,14
rey,14
coches,14
unicamente,14
cristianos,14
mete,14
conseguido,14
tela,14
roja,14
internacional,14
crea,14
gracioso,14
expulsion,14
usuarios,14
mantente,14
cotizan,14
xenofobo,14
economico,14
demostrar,14
ideas,14
cuantas,14
tiempos,14
aceptar,14
cabezas,14
ciudadano,14
responsabilidad,14
ministro,14
tipico,14
virgen,14
aguantar,14
destino,14
saliendo,14
ejercito,14
conocido,14
saludos,14
defendiendo,14
siglos,14
jajaja,14
ostias,14
plazo,14
leo,14
soltar,14
ilegalmente,14
hobby,14
quiza,13
preocupa,13
integran,13
posibilidades,13
autoctona,13
metan,13
salida,13
vuestros,13
podemita,13
frenar,13
reves,13
familiares,13
mercado,13
local,13
podido,13
estais,13
duro,13
masa,13
anti,13
acabo,13
tonteria,13
cobra,13
consigue,13
colega,13
principalmente,13
justificar,13
causa,13
conocer,13
chicos,13
cristiana,13
estupidez,13
cama,13
percepcion,13
meterse,13
militar,13
privilegios,13
corto,13
podrias,13
necesitamos,13
generaciones,13
formas,13
sepa,13
charlas,13
venden,13
especialmente,13
hotel,13
normalmente,13
culturas,13
tocate,13
africanos,13
onu,13
distinta,13
lee,13
popular,13
cabe,13
cobrando,13
habian,13
perro,13
subir,13
bandas,13
notas,13
tasas,13
pinta,13
victimas,13
conflicto,13
entorno,13
quejandose,13
pese,13
xdd,13
iria,13
risa,13
cierta,13
religiones,13
asociacion,13
traen,13
sabeis,13
pedazo,13
penas,13
teoria,13
cona,13
obtener,13
frio,13
aragon,13
progreso,13
bar,13
tias,13
colegios,13
lengua,13
defiende,13
cae,13
italia,13
peores,13
pensaba,13
asesinatos,13
rata,13
transfobia,13
pocas,13
arcas,12
decidir,12
frases,12
ejemplos,12
desempleo,12
iguales,12
franceses,12
ucranianos,12
retrasados,12
contando,12
eta,12
carmena,12
musulman,12
trastorno,12
precios,12
toma,12
transgenero,12
terapias,12
forocochero,12
gratuita,12
isla,12
progresismo,12
encarcelados,12
recortes,12
fomentar,12
traves,12
hacian,12
llegaron,12
paja,12
copon,12
salud,12
vea,12
repetir,12
inmis,12
upyd,12
liberal,12
cruz,12
blancos,12
xenofobia,12
escuchar,12
molesta,12
minoria,12
marido,12
compatriotas,12
opina,12
perros,12
manifestaciones,12
comportamiento,12
digna,12
queden,12
busque,12
autoctonos,12
prision,12
rumanos,12
serie,12
escrito,12
llevas,12
detenidos,12
dejando,12
felices,12
merece,12
buenismo,12
terminar,12
news,12
vais,12
proximo,12
bisexual,12
irregular,12
adoctrinar,12
ensenar,12
youtube,12
gordo,12
brutal,12
elaborado,12
gais,12
brazo,12
abajo,12
sentirse,12
vender,12
aprovechan,12
celtas,12
primeras,12
abuelos,12
mandan,12
refiere,12
lider,12
haz,12
dejad,12
tirar,12
superior,12
crecimiento,12
fondos,12
increible,12
concepto,12
menudos,12
llorar,12
ganarse,12
contentos,12
tratar,12
papel,12
dejen,12
prensa,12
logico,12
heteros,12
habiendo,12
foto,12
oportunidad,12
acogen,12
muestra,12
hagas,12
merecen,12
corrupcion,12
blanca,12
ultimamente,12
matado,12
mena,12
entrado,12
etnica,12
portada,12
obligacion,12
tuya,12
fuesen,12
convierte,12
reducido,12
cometidos,12
debido,12
entero,12
aceptado,12
tolerancia,12
robo,12
vino,11
cubanos,11
ingenieros,11
dais,11
fascistas,11
ambito,11
aseguro,11
pedro,11
entiende,11
trae,11
intereses,11
convertido,11
posicion,11
aumento,11
pedido,11
red,11
edit,11
llegue,11
conocidos,11
abdsalam,11
dictadura,11
cargo,11
declaraciones,11
hipocresia,11
similares,11
ajena,11
direccion,11
castellano,11
entidades,11
chalet,11
nacion,11
vuestra,11
epoca,11
especial,11
ofrece,11
javier,11
acoge,11
estadistica,11
herencia,11
ocurra,11
juicio,11
perdida,11
administracion,11
pagados,11
instituciones,11
residentes,11
dumping,11
digital,11
frances,11
redes,11
imaginate,11
salario,11
vasco,11
parecer,11
llegando,11
grecia,11
cabo,11
cambiado,11
guardia,11
recordar,11
encontrar,11
entiendes,11
america,11
bonita,11
claramente,11
sorpresa,11
latina,11
osea,11
acceder,11
transexuales,11
vuelvan,11
dejas,11
parecen,11
nacionalismo,11
trump,11
metiendo,11
cerrando,11
pensionistas,11
muchisimo,11
dio,11
verlo,11
numeros,11
obsesion,11
videos,11
dedican,11
dni,11
pillar,11
sorprende,11
exacto,11
australia,11
proceso,11
materia,11
rapefugees,11
disfruten,11
arabe,11
legislacion,11
nacidos,11
creado,11
vayas,11
viniendo,11
quitado,11
ciertos,11
colegas,11
dedo,11
siete,11
transexualidad,11
echan,11
cristiano,11
tocado,11
defienden,11
robando,11
perroflautas,11
mejorar,11
riesgo,11
oltra,11
necesidades,11
tocar,11
razas,11
mediterraneo,11
huir,11
titulo,11
cumplir,11
construccion,11
anadir,11
infinito,11
daria,11
sur,11
cuba,11
larga,11
nietos,11
dije,11
abierto,11
dime,11
criminalidad,11
valiente,11
estancia,11
altos,11
deuda,11
terminos,11
dudo,11
pudiera,11
pagarle,11
rollo,11
manden,11
tantas,11
empezo,11
mafia,11
aporta,11
analisis,11
insultar,11
suiza,11
sencillo,11
pura,11
seamos,11
traidores,11
revista,11
solucionar,11
transfobo,11
paraiso,11
historias,11
quejas,11
mohamed,11
pretende,11
solamente,10
fiscales,10
giliprogres,10
completo,10
libano,10
paletos,10
malas,10
man,10
conciencia,10
chicas,10
bajos,10
info,10
mantenido,10
llevado,10
pobrecitos,10
pleno,10
enero,10
completa,10
vagina,10
norma,10
comunista,10
emigrar,10
gestion,10
wait,10
hablamos,10
dira,10
modulo,10
vuestras,10
pierde,10
africana,10
sienta,10
haran,10
podran,10
shurs,10
tiro,10
vendido,10
spider,10
conexion,10
humana,10
condena,10
dejamos,10
directo,10
moda,10
reino,10
especie,10
ninas,10
vean,10
mama,10
pelicula,10
ine,10
hable,10
presion,10
venian,10
tendriamos,10
extranjeria,10
ale,10
gobernar,10
gobierna,10
aznar,10
fiscalia,10
cuidar,10
practica,10
lgbt,10
oriente,10
tratamiento,10
merecemos,10
mirando,10
deje,10
puntos,10
quitan,10
agresiones,10
hermana,10
opiniones,10
actuales,10
tragar,10
caracteristicas,10
usar,10
similar,10
tengamos,10
follar,10
operacion,10
rabo,10
ministra,10
actividad,10
lastima,10
buscarse,10
oficial,10
abro,10
multicultural,10
veremos,10
lecciones,10
funcion,10
poniendo,10
documental,10
intento,10
regimen,10
radicales,10
cuya,10
decente,10
mapa,10
sanitarios,10
jugando,10
meta,10
pasaporte,10
sociedades,10
risas,10
opino,10
facilidades,10
sere,10
lesbiana,10
sola,10
central,10
tetas,10
petroleo,10
exigiran,10
principales,10
proyectos,10
cuentan,10
obligado,10
darse,10
vinieron,10
nacionalizados,10
tuvo,10
poquito,10
educar,10
criticar,10
domicilio,10
diras,10
chorrada,10
pensais,10
aire,10
aberracion,10
disfrutad,10
monton,10
casualidad,10
vias,10
andalucia,10
tuviera,10
exigiendo,10
especiales,10
hara,10
rato,10
resultado,10
normas,10
recuerda,10
pateras,10
intentando,10
intencion,10
texto,10
diria,10
consolas,10
pagarles,9
contribucion,9
perdona,9
perfil,9
permiten,9
probablemente,9
comunistas,9
propias,9
encuentran,9
caiga,9
golpe,9
marcado,9
catalanes,9
semanas,9
principios,9
seguira,9
libros,9
trabajador,9
permite,9
des,9
ocasiones,9
creencias,9
refieres,9
olvida,9
limites,9
cagada,9
propiedad,9
vendran,9
rasista,9
votais,9
cerrar,9
psicologo,9
minuto,9
tratado,9
denuncia,9
islamico,9
welcome,9
abiertos,9
capaces,9
suficientes,9
ventaja,9
ahorro,9
costes,9
expulsar,9
yemen,9
explicado,9
servicio,9
temporal,9
permita,9
reflejo,9
llenar,9
sano,9
jaja,9
contexto,9
pequenos,9
util,9
prefiere,9
presupuesto,9
lloran,9
manipulacion,9
pagarnos,9
legalmente,9
cita,9
bienvenidos,9
echa,9
llamo,9
jodidos,9
generalizado,9
tira,9
agradecidos,9
senegal,9
carta,9
obrero,9
valen,9
leyendo,9
tenerife,9
diferencias,9
culturales,9
prefieren,9
necesitas,9
india,9
sueco,9
principal,9
utiliza,9
caer,9
santos,9
controlada,9
bro,9
sindicatos,9
imbeciles,9
muchisimos,9
parejas,9
santander,9
original,9
miserable,9
desarrollo,9
tiran,9
money,9
desgraciado,9
bancos,9
gadafi,9
casarse,9
pida,9
correo,9
melilla,9
importantes,9
magia,9
israel,9
abiertas,9
construir,9
mestizaje,9
kilometros,9
jajajajaja,9
app,9
flipo,9
negrita,9
pruebas,9
mesa,9
tercermundizacion,9
privada,9
conceptos,9
decian,9
tramites,9
personajes,9
denuncian,9
salarial,9
identifica,9
ala,9
pago,9
jeta,9
gastar,9
cura,9
generalmente,9
esfuerzo,9
posibles,9
bolsillos,9
tendremos,9
decisiones,9
traslado,9
niega,9
fiscal,9
experimento,9
emigrantes,9
irpf,9
compra,9
sanitaria,9
dijeron,9
isabel,9
david,9
buscan,9
trabaje,9
complejo,9
industrial,9
semejante,9
chusma,9
humanidad,9
hitler,9
pasen,9
verdadero,9
peligro,9
obrera,9
sinverguenza,9
faltan,9
llegados,9
jilos,9
comparacion,9
debes,9
sony,9
alegro,9
conmigo,9
lesbianas,9
vuelo,9
tierras,9
preguntan,9
hola,9
preferencia,9
upeo,9
bajar,9
mision,9
edito,9
machista,9
tocho,9
parecido,9
triste,9
comido,9
conflictos,9
compartir,9
vuelvo,9
fuego,9
genial,9
comerse,9
fatal,9
intentarlo,9
valor,9
proteger,9
ancianos,9
respuestas,9
echarlos,9
salvini,9
titular,9
parasito,9
parezca,9
duras,9
hermanos,8
crimenes,8
partida,8
carga,8
naciones,8
aguas,8
razonamiento,8
entera,8
animales,8
deseo,8
paguen,8
salvajes,8
plaza,8
suponen,8
grado,8
criterio,8
mezclar,8
verdaderamente,8
hierve,8
oficiales,8
palizas,8
musica,8
abierta,8
cumpliendo,8
tuyos,8
sueno,8
pajas,8
joderse,8
gol,8
comparar,8
faltado,8
parque,8
generos,8
hablado,8
payaso,8
referia,8
conocemos,8
conjunto,8
internacionales,8
demostrado,8
jubilacion,8
migraciones,8
multiculturalidad,8
alfombra,8
responsables,8
dispuesta,8
amenazas,8
paleto,8
hospital,8
estaran,8
vigente,8
hipocrita,8
marco,8
decirlo,8
ambas,8
ladrones,8
aprovechado,8
ira,8
oenege,8
genera,8
billete,8
integrado,8
chiste,8
brenda,8
explica,8
falsa,8
tele,8
novedad,8
gobernantes,8
and,8
sacado,8
deberiamos,8
reduccion,8
obligaciones,8
cobarde,8
fijate,8
ideologias,8
apoye,8
academia,8
tuve,8
saque,8
pesados,8
oficio,8
habitual,8
extremo,8
piensas,8
demagogo,8
agresion,8
rojos,8
unicos,8
asesinos,8
acaban,8
colau,8
dispuestos,8
prestacion,8
duracion,8
economicas,8
gritos,8
elle,8
rien,8
cayucos,8
canario,8
estuve,8
mensuales,8
publicidad,8
lacra,8
rojo,8
oiga,8
mensajes,8
caido,8
decada,8
administraciones,8
manada,8
activa,8
asegurado,8
narices,8
distintos,8
sanitario,8
destruir,8
cotizado,8
crios,8
ingleses,8
comprender,8
prueba,8
creando,8
elites,8
director,8
color,8
aleman,8
traido,8
edificio,8
binario,8
colaboracion,8
medias,8
cotizaciones,8
sobran,8
abuela,8
gobierne,8
rebeldes,8
anual,8
cerdo,8
ciertas,8
convertirse,8
wolscht,8
adoptado,8
jajajajajajaja,8
bisexuales,8
asqueroso,8
solicitudes,8
seguros,8
supuestos,8
business,8
informes,8
oculto,8
empezando,8
conflictivos,8
pido,8
nomina,8
marcha,8
carrera,8
idiotas,8
cultural,8
descontrolada,8
novia,8
tratando,8
invierno,8
seguiran,8
refugee,8
haceis,8
acogido,8
laborales,8
intentan,8
pidan,8
corruptos,8
cole,8
negocios,8
remedio,8
ropa,8
rabia,8
medicos,8
profesionales,8
nacimiento,8
usted,8
sufrir,8
loco,8
premio,8
comentas,8
consumen,8
record,8
playa,8
dormir,8
actividades,8
panchitos,8
definicion,8
impacto,8
mandar,8
movimientos,8
causas,8
catolicos,8
currando,8
hubieran,8
sentir,8
rapido,8
robado,8
invasores,8
aborto,8
