año,mes,ccaa,comunidad,siglas,nombre,votos,diputados
2015,12,17,Comunidad Valenciana,FDEE,FORO DEMÓCRATA,456,0
2015,12,17,Comunidad Valenciana,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",111963,0
2015,12,7,Castilla-La Mancha,RECORTES CE,RECORTES CERO-GRUPO VERDE,1751,0
2015,12,8,Castilla y León,VOX,VOX,4053,0
2015,12,10,Extremadura,RECORTES CE,RECORTES CERO-GRUPO VERDE,846,0
2015,12,11,Galicia,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,148852,1
2015,12,13,Navarra,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,1452,0
2015,12,15,Murcia,EB,ESCAÑOS EN BLANCO,1063,0
2015,12,15,Murcia,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,6591,0
2015,12,18,Ceuta,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,7627,0
2015,12,2,Aragón,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,1199,0
2015,12,3,Asturias,PODEMOS,PODEMOS,132984,2
2015,12,5,Canarias,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,4681,0
2015,12,5,Canarias,PSOE-NCa,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIAS,218413,4
2015,12,6,Cantabria,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,2875,0
2015,12,7,Castilla-La Mancha,VOX,VOX,3608,0
2015,12,10,Extremadura,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,2620,0
2015,12,12,Madrid,FE de las J,FALANGE ESPAÑOLA DE LAS J.O.N.S.,4579,0
2015,12,12,Madrid,PH,PARTIDO HUMANISTA,1779,0
2015,12,12,Madrid,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",190193,2
2015,12,14,País Vasco,EH Bildu,EUSKAL HERRIA BILDU,184186,2
2015,12,15,Murcia,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,1051,0
2015,12,15,Murcia,VOX,VOX,3282,0
2015,12,16,La Rioja,PODEMOS,PODEMOS,28073,1
2015,12,17,Comunidad Valenciana,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,531489,7
2015,12,19,Melilla,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,4366,0
2015,12,19,Melilla,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,314,0
2015,12,4,Baleares,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,71551,1
2015,12,4,Baleares,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,5114,0
2015,12,5,Canarias,VOX,VOX,1546,0
2015,12,5,Canarias,RECORTES CE,RECORTES CERO-GRUPO VERDE,2660,0
2015,12,6,Cantabria,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",15488,0
2015,12,8,Castilla y León,RECORTES CE,RECORTES CERO-GRUPO VERDE,2526,0
2015,12,9,Cataluña,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,43930,0
2015,12,9,Cataluña,RECORTES CE,RECORTES CERO-GRUPO VERDE,12911,0
2015,12,13,Navarra,UPN-PP,UNIÓN DEL PUEBLO NAVARRO EN COALICIÓN CON PARTIDO,102244,2
2015,12,15,Murcia,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,330,0
2015,12,17,Comunidad Valenciana,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,4341,0
2015,12,17,Comunidad Valenciana,EN POSITIU,EN POSITIU,1276,0
2015,12,1,Andalucía,FE de las J,FALANGE ESPAÑOLA DE LAS J.O.N.S.,1826,0
2015,12,1,Andalucía,mlgXSÍ,MÁLAGA POR SÍ,934,0
2015,12,2,Aragón,PP-PAR,PARTIDO POPULAR EN COALICIÓN CON PARTIDO ARAGONÉS,229691,6
2015,12,3,Asturias,PH,PARTIDO HUMANISTA,392,0
2015,12,4,Baleares,PP,PARTIDO POPULAR,140640,3
2015,12,5,Canarias,PCPC,PARTIDO COMUNISTA DEL PUEBLO CANARIO,1712,0
2015,12,7,Castilla-La Mancha,PP,PARTIDO POPULAR,446235,10
2015,12,7,Castilla-La Mancha,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,331856,7
2015,12,8,Castilla y León,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,8533,0
2015,12,8,Castilla y León,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,845,0
2015,12,13,Navarra,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,2343,0
2015,12,14,País Vasco,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,4093,0
2015,12,16,La Rioja,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,1361,0
2015,12,19,Melilla,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,240,0
2015,12,1,Andalucía,PCPE,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,5368,0
2015,12,1,Andalucía,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",257019,0
2015,12,3,Asturias,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",52583,0
2015,12,7,Castilla-La Mancha,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",41986,0
2015,12,10,Extremadura,PACMA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,3404,0
2015,12,12,Madrid,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,681167,7
2015,12,12,Madrid,PP,PARTIDO POPULAR,1210219,13
2015,12,14,País Vasco,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,50268,0
2015,12,14,País Vasco,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",36002,0
2015,12,1,Andalucía,AJU,ANDALUCES DE JAÉN UNIDOS,711,0
2015,12,1,Andalucía,RECORTES CE,RECORTES CERO-GRUPO VERDE,5676,0
2015,12,3,Asturias,UPYD,UNIÓN PROGRESO Y DEMOCRACIA,3855,0
2015,12,5,Canarias,SAIn,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,300,0
2015,12,5,Canarias,CCa-PNC,COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO,81917,1
2015,12,8,Castilla y León,CCD,CIUDADANOS DE CENTRO DEMOCRÁTICO,1579,0
2015,12,13,Navarra,Ln,"LIBERTAD NAVARRA, LIBERTATE NAFARRA",576,0
2015,12,14,País Vasco,EB,ESCAÑOS EN BLANCO,1518,0
2015,12,14,País Vasco,OE,ONGI ETORRI,110,0
2015,12,14,País Vasco,"JS,PC","JUSTIZIA SOCIAL, PARTICIPACIÓN CIUDADANA",406,0
2015,12,16,La Rioja,IU-UPeC,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",7423,0
2015,12,17,Comunidad Valenciana,CCD,CIUDADANOS DE CENTRO DEMOCRÁTICO,9248,0
2015,12,17,Comunidad Valenciana,C's,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,424621,5
