Comunidades autónomas;Grupo penal;periodo;Total
ARAGÓN;FRAUDE INFORMÁTICO;2024;11.081
ARAGÓN;FRAUDE INFORMÁTICO;2023;10.891
ARAGÓN;FRAUDE INFORMÁTICO;2022;8.732
ARAGÓN;FRAUDE INFORMÁTICO;2021;7.310
ARAGÓN;FRAUDE INFORMÁTICO;2020;6.970
ARAGÓN;FRAUDE INFORMÁTICO;2019;4.536
ARAGÓN;FRAUDE INFORMÁTICO;2018;3.131
ARAGÓN;FRAUDE INFORMÁTICO;2017;1.860
ARAGÓN;FRAUDE INFORMÁTICO;2016;1.437
ARAGÓN;FRAUDE INFORMÁTICO;2015;1.470
ARAGÓN;FRAUDE INFORMÁTICO;2014;1.426
ARAGÓN;FRAUDE INFORMÁTICO;2013;927
ARAGÓN;FRAUDE INFORMÁTICO;2012;984
ARAGÓN;FRAUDE INFORMÁTICO;2011;631
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;58
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;57
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;30
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;67
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;51
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;69
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;47
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;63
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;45
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;45
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;13
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;18
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;8
ARAGÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;5
ARAGÓN;TOTAL grupo penal;2024;12.497
ARAGÓN;TOTAL grupo penal;2023;12.185
ARAGÓN;TOTAL grupo penal;2022;9.620
ARAGÓN;TOTAL grupo penal;2021;8.461
ARAGÓN;TOTAL grupo penal;2020;7.826
ARAGÓN;TOTAL grupo penal;2019;5.163
ARAGÓN;TOTAL grupo penal;2018;3.769
ARAGÓN;TOTAL grupo penal;2017;2.426
ARAGÓN;TOTAL grupo penal;2016;2.066
ARAGÓN;TOTAL grupo penal;2015;2.013
ARAGÓN;TOTAL grupo penal;2014;1.926
ARAGÓN;TOTAL grupo penal;2013;1.468
ARAGÓN;TOTAL grupo penal;2012;1.424
ARAGÓN;TOTAL grupo penal;2011;1.212
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;322
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;143
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;121
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;92
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;75
ASTURIAS (PRINCIPADO DE);ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;83
