Comunidades autónomas;Grupo penal;periodo;Total
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;209
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;129
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;79
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;60
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;45
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;50
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;36
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;43
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;38
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;45
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;21
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;25
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;23
CANTABRIA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;31
CANTABRIA;AMENAZAS Y COACCIONES;2024;258
CANTABRIA;AMENAZAS Y COACCIONES;2023;249
CANTABRIA;AMENAZAS Y COACCIONES;2022;208
CANTABRIA;AMENAZAS Y COACCIONES;2021;321
CANTABRIA;AMENAZAS Y COACCIONES;2020;215
CANTABRIA;AMENAZAS Y COACCIONES;2019;189
CANTABRIA;AMENAZAS Y COACCIONES;2018;197
CANTABRIA;AMENAZAS Y COACCIONES;2017;193
CANTABRIA;AMENAZAS Y COACCIONES;2016;170
CANTABRIA;AMENAZAS Y COACCIONES;2015;172
CANTABRIA;AMENAZAS Y COACCIONES;2014;173
CANTABRIA;AMENAZAS Y COACCIONES;2013;136
CANTABRIA;AMENAZAS Y COACCIONES;2012;124
CANTABRIA;AMENAZAS Y COACCIONES;2011;125
CANTABRIA;CONTRA EL HONOR;2024;11
CANTABRIA;CONTRA EL HONOR;2023;9
CANTABRIA;CONTRA EL HONOR;2022;11
CANTABRIA;CONTRA EL HONOR;2021;20
CANTABRIA;CONTRA EL HONOR;2020;27
CANTABRIA;CONTRA EL HONOR;2019;16
CANTABRIA;CONTRA EL HONOR;2018;15
CANTABRIA;CONTRA EL HONOR;2017;14
CANTABRIA;CONTRA EL HONOR;2016;18
CANTABRIA;CONTRA EL HONOR;2015;38
CANTABRIA;CONTRA EL HONOR;2014;38
CANTABRIA;CONTRA EL HONOR;2013;30
CANTABRIA;CONTRA EL HONOR;2012;27
CANTABRIA;CONTRA EL HONOR;2011;17
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;6
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;14
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;1
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;7
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;0
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;0
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;0
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;0
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;0
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;3
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;2
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;1
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;1
CANTABRIA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;0
CANTABRIA;DELITOS SEXUALES;2024;30
CANTABRIA;DELITOS SEXUALES;2023;12
CANTABRIA;DELITOS SEXUALES;2022;22
CANTABRIA;DELITOS SEXUALES;2021;15
CANTABRIA;DELITOS SEXUALES;2020;16
CANTABRIA;DELITOS SEXUALES;2019;18
CANTABRIA;DELITOS SEXUALES;2018;15
CANTABRIA;DELITOS SEXUALES;2017;11
CANTABRIA;DELITOS SEXUALES;2016;18
CANTABRIA;DELITOS SEXUALES;2015;17
CANTABRIA;DELITOS SEXUALES;2014;12
CANTABRIA;DELITOS SEXUALES;2013;4
CANTABRIA;DELITOS SEXUALES;2012;6
CANTABRIA;DELITOS SEXUALES;2011;7
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2024;207
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2023;95
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2022;103
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2021;57
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2020;35
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2019;26
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2018;23
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2017;18
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2016;22
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2015;6
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2014;9
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2013;5
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2012;7
CANTABRIA;FALSIFICACIÓN INFORMÁTICA;2011;13
CANTABRIA;FRAUDE INFORMÁTICO;2024;5.774
CANTABRIA;FRAUDE INFORMÁTICO;2023;5.428
CANTABRIA;FRAUDE INFORMÁTICO;2022;4.349
CANTABRIA;FRAUDE INFORMÁTICO;2021;3.243
CANTABRIA;FRAUDE INFORMÁTICO;2020;2.513
CANTABRIA;FRAUDE INFORMÁTICO;2019;1.766
CANTABRIA;FRAUDE INFORMÁTICO;2018;1.704
CANTABRIA;FRAUDE INFORMÁTICO;2017;1.419
CANTABRIA;FRAUDE INFORMÁTICO;2016;1.028
CANTABRIA;FRAUDE INFORMÁTICO;2015;776
CANTABRIA;FRAUDE INFORMÁTICO;2014;589
CANTABRIA;FRAUDE INFORMÁTICO;2013;281
CANTABRIA;FRAUDE INFORMÁTICO;2012;233
CANTABRIA;FRAUDE INFORMÁTICO;2011;231
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;41
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;32
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;33
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;59
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;34
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;21
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;10
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;18
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;13
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;8
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;6
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;5
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;8
CANTABRIA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;6
CANTABRIA;TOTAL grupo penal;2024;6.536
CANTABRIA;TOTAL grupo penal;2023;5.968
CANTABRIA;TOTAL grupo penal;2022;4.806
CANTABRIA;TOTAL grupo penal;2021;3.782
CANTABRIA;TOTAL grupo penal;2020;2.885
CANTABRIA;TOTAL grupo penal;2019;2.086
CANTABRIA;TOTAL grupo penal;2018;2.000
CANTABRIA;TOTAL grupo penal;2017;1.716
CANTABRIA;TOTAL grupo penal;2016;1.307
CANTABRIA;TOTAL grupo penal;2015;1.065
CANTABRIA;TOTAL grupo penal;2014;850
CANTABRIA;TOTAL grupo penal;2013;487
CANTABRIA;TOTAL grupo penal;2012;429
CANTABRIA;TOTAL grupo penal;2011;430
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;546
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;348
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;333
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;244
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;182
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;130
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;148
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;106
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;136
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;104
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;63
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;61
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;50
CASTILLA Y LEÓN;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;48
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2024;972
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2023;1.001
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2022;929
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2021;1.037
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2020;772
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2019;806
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2018;832
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2017;711
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2016;743
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2015;627
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2014;620
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2013;575
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2012;622
CASTILLA Y LEÓN;AMENAZAS Y COACCIONES;2011;692
CASTILLA Y LEÓN;CONTRA EL HONOR;2024;72
CASTILLA Y LEÓN;CONTRA EL HONOR;2023;95
CASTILLA Y LEÓN;CONTRA EL HONOR;2022;65
CASTILLA Y LEÓN;CONTRA EL HONOR;2021;85
CASTILLA Y LEÓN;CONTRA EL HONOR;2020;110
CASTILLA Y LEÓN;CONTRA EL HONOR;2019;90
CASTILLA Y LEÓN;CONTRA EL HONOR;2018;100
CASTILLA Y LEÓN;CONTRA EL HONOR;2017;97
CASTILLA Y LEÓN;CONTRA EL HONOR;2016;98
CASTILLA Y LEÓN;CONTRA EL HONOR;2015;141
CASTILLA Y LEÓN;CONTRA EL HONOR;2014;169
CASTILLA Y LEÓN;CONTRA EL HONOR;2013;171
CASTILLA Y LEÓN;CONTRA EL HONOR;2012;175
CASTILLA Y LEÓN;CONTRA EL HONOR;2011;171
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;12
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;6
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;3
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;10
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;11
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;4
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;33
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;8
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;5
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;10
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;6
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;3
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;6
CASTILLA Y LEÓN;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;21
CASTILLA Y LEÓN;DELITOS SEXUALES;2024;75
CASTILLA Y LEÓN;DELITOS SEXUALES;2023;87
CASTILLA Y LEÓN;DELITOS SEXUALES;2022;85
CASTILLA Y LEÓN;DELITOS SEXUALES;2021;57
CASTILLA Y LEÓN;DELITOS SEXUALES;2020;80
CASTILLA Y LEÓN;DELITOS SEXUALES;2019;91
CASTILLA Y LEÓN;DELITOS SEXUALES;2018;62
CASTILLA Y LEÓN;DELITOS SEXUALES;2017;61
CASTILLA Y LEÓN;DELITOS SEXUALES;2016;58
CASTILLA Y LEÓN;DELITOS SEXUALES;2015;44
CASTILLA Y LEÓN;DELITOS SEXUALES;2014;42
CASTILLA Y LEÓN;DELITOS SEXUALES;2013;21
CASTILLA Y LEÓN;DELITOS SEXUALES;2012;30
CASTILLA Y LEÓN;DELITOS SEXUALES;2011;24
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2024;1.244
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2023;1.131
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2022;775
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2021;622
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2020;362
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2019;303
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2018;263
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2017;245
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2016;170
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2015;99
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2014;68
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2013;56
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2012;36
CASTILLA Y LEÓN;FALSIFICACIÓN INFORMÁTICA;2011;42
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2024;22.366
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2023;22.722
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2022;18.968
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2021;14.457
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2020;13.841
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2019;9.464
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2018;6.511
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2017;4.606
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2016;3.370
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2015;2.411
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2014;1.874
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2013;1.403
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2012;1.172
CASTILLA Y LEÓN;FRAUDE INFORMÁTICO;2011;849
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;174
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;156
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;144
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;168
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;99
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;76
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;93
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;79
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;102
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;64
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;21
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;17
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;11
CASTILLA Y LEÓN;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;16
CASTILLA Y LEÓN;TOTAL grupo penal;2024;25.461
CASTILLA Y LEÓN;TOTAL grupo penal;2023;25.546
CASTILLA Y LEÓN;TOTAL grupo penal;2022;21.302
CASTILLA Y LEÓN;TOTAL grupo penal;2021;16.680
CASTILLA Y LEÓN;TOTAL grupo penal;2020;15.457
CASTILLA Y LEÓN;TOTAL grupo penal;2019;10.964
CASTILLA Y LEÓN;TOTAL grupo penal;2018;8.042
CASTILLA Y LEÓN;TOTAL grupo penal;2017;5.913
CASTILLA Y LEÓN;TOTAL grupo penal;2016;4.682
CASTILLA Y LEÓN;TOTAL grupo penal;2015;3.500
CASTILLA Y LEÓN;TOTAL grupo penal;2014;2.863
CASTILLA Y LEÓN;TOTAL grupo penal;2013;2.307
CASTILLA Y LEÓN;TOTAL grupo penal;2012;2.102
CASTILLA Y LEÓN;TOTAL grupo penal;2011;1.863
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;274
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;192
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;165
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;111
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;124
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;107
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;93
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;79
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;79
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;86
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;73
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;75
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;60
CASTILLA - LA MANCHA;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;44
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2024;758
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2023;844
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2022;895
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2021;932
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2020;745
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2019;628
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2018;642
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2017;591
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2016;617
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2015;586
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2014;603
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2013;568
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2012;539
CASTILLA - LA MANCHA;AMENAZAS Y COACCIONES;2011;591
CASTILLA - LA MANCHA;CONTRA EL HONOR;2024;65
CASTILLA - LA MANCHA;CONTRA EL HONOR;2023;101
CASTILLA - LA MANCHA;CONTRA EL HONOR;2022;70
CASTILLA - LA MANCHA;CONTRA EL HONOR;2021;80
CASTILLA - LA MANCHA;CONTRA EL HONOR;2020;115
CASTILLA - LA MANCHA;CONTRA EL HONOR;2019;94
CASTILLA - LA MANCHA;CONTRA EL HONOR;2018;90
CASTILLA - LA MANCHA;CONTRA EL HONOR;2017;125
CASTILLA - LA MANCHA;CONTRA EL HONOR;2016;134
CASTILLA - LA MANCHA;CONTRA EL HONOR;2015;179
CASTILLA - LA MANCHA;CONTRA EL HONOR;2014;187
CASTILLA - LA MANCHA;CONTRA EL HONOR;2013;177
CASTILLA - LA MANCHA;CONTRA EL HONOR;2012;163
CASTILLA - LA MANCHA;CONTRA EL HONOR;2011;156
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;11
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;4
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;6
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;4
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;3
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;4
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;13
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;9
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;5
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;7
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;3
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;4
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;5
CASTILLA - LA MANCHA;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;7
CASTILLA - LA MANCHA;DELITOS SEXUALES;2024;58
CASTILLA - LA MANCHA;DELITOS SEXUALES;2023;69
CASTILLA - LA MANCHA;DELITOS SEXUALES;2022;69
CASTILLA - LA MANCHA;DELITOS SEXUALES;2021;53
CASTILLA - LA MANCHA;DELITOS SEXUALES;2020;57
CASTILLA - LA MANCHA;DELITOS SEXUALES;2019;71
CASTILLA - LA MANCHA;DELITOS SEXUALES;2018;72
CASTILLA - LA MANCHA;DELITOS SEXUALES;2017;51
CASTILLA - LA MANCHA;DELITOS SEXUALES;2016;43
CASTILLA - LA MANCHA;DELITOS SEXUALES;2015;52
CASTILLA - LA MANCHA;DELITOS SEXUALES;2014;29
CASTILLA - LA MANCHA;DELITOS SEXUALES;2013;24
CASTILLA - LA MANCHA;DELITOS SEXUALES;2012;23
CASTILLA - LA MANCHA;DELITOS SEXUALES;2011;30
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2024;908
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2023;830
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2022;766
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2021;617
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2020;461
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2019;284
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2018;277
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2017;226
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2016;178
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2015;146
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2014;144
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2013;114
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2012;105
CASTILLA - LA MANCHA;FALSIFICACIÓN INFORMÁTICA;2011;114
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2024;16.038
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2023;17.335
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2022;13.608
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2021;9.797
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2020;8.405
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2019;6.445
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2018;4.789
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2017;2.796
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2016;2.075
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2015;2.012
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2014;1.509
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2013;1.255
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2012;1.092
CASTILLA - LA MANCHA;FRAUDE INFORMÁTICO;2011;861
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;114
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;81
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;70
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;63
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;53
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;54
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;30
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;56
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;53
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;25
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;16
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;10
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;9
CASTILLA - LA MANCHA;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;11
CASTILLA - LA MANCHA;TOTAL grupo penal;2024;18.226
CASTILLA - LA MANCHA;TOTAL grupo penal;2023;19.456
CASTILLA - LA MANCHA;TOTAL grupo penal;2022;15.649
CASTILLA - LA MANCHA;TOTAL grupo penal;2021;11.657
CASTILLA - LA MANCHA;TOTAL grupo penal;2020;9.963
