comunidad,año,mes,delitos_por_100k,pct_Extrema derecha,pct_Derecha,pct_Centro,pct_Izquierda
País Vasco,2016,6,6.48446992447662,0.0828955131381072,41.82844567849146,15.192988107513816,42.89567070085661
Andalucía,2019,4,2.3893805940927377,13.60001526593232,35.478781130686365,36.18356573570367,14.73763786767765
Aragón,2019,4,2.8015573630227744,12.378874930326289,40.03799897097286,33.15852377481456,14.424602323886294
Asturias,2019,4,3.6222342528260767,11.76905088352042,35.44017505356031,35.01332675302773,17.77744730989154
Baleares,2019,4,3.281723906840494,11.45719422278997,34.761072888076825,30.76288046699701,23.01885242213619
Canarias,2019,4,2.4148801197780543,6.657256576065855,43.81334358497675,33.42542598829859,16.1039738506588
Cantabria,2019,4,2.9210174075455035,11.27474663490708,37.15169322037707,40.96789959776185,10.605660546954002
Castilla y León,2019,4,3.2424774523106388,12.519458679423227,45.67377327605625,31.05755625053889,10.749211793981628
Castilla-La Mancha,2019,4,2.50395600500202,15.439283191940165,40.55913411220122,33.65772925689877,10.343853438959846
Cataluña,2019,4,6.754430545764546,3.620109796993279,28.723743721403995,24.957558977212692,42.69858750439003
Ceuta,2019,4,1.1752676672112072,24.29521951740908,33.91764422948454,36.87571814125003,4.911418111856345
Comunidad Valenciana,2019,4,2.8861717897552124,12.179819450722157,37.00962384122038,29.54638756308236,21.264169144975103
Extremadura,2019,4,1.8727906922302595,10.947026923380244,39.97420699658413,39.407317604961904,9.671448475073722
Galicia,2019,4,2.8145959018002302,5.370311303707277,39.1972202977001,33.64861221561201,21.78385618298061
La Rioja,2019,4,1.8989324834555508,9.194004524886878,45.32126696832579,33.20192307692308,12.282805429864254
Madrid,2019,4,3.8984128020249993,14.08235248920066,40.22659601705327,29.080583383191584,16.610468110554482
Melilla,2019,4,5.788846051428108,21.89172886978813,46.88984392671342,26.347734298424182,4.870692905074267
Murcia,2019,4,1.676376237836214,18.92839444176473,43.66928103711437,26.582134621356783,10.820189899764111
Navarra,2019,4,4.748796333316482,4.926358276065677,29.83342250362456,33.31688534179019,31.92333387851957
País Vasco,2019,4,4.687558310039657,2.2355048534924715,42.0723913962759,21.002184032017688,34.68991971821394
Andalucía,2019,11,2.3893805940927377,20.75489389560962,29.18624670272829,35.134577357525416,14.924282044136678
Aragón,2019,11,2.8015573630227744,17.279021858828518,33.00906837748393,34.821726914281896,14.890182849405658
Asturias,2019,11,3.6222342528260767,16.136466072493057,30.408809374954565,34.644113755652164,18.810610796900217
Baleares,2019,11,3.281723906840494,17.317525952832526,30.643665989781944,27.203617200467335,24.835190856918185
Canarias,2019,11,2.4148801197780543,12.668574728981431,39.94638674118559,30.654459648346837,16.730578881486142
Cantabria,2019,11,2.9210174075455035,15.029380350101732,30.839979438372065,45.15986050105117,8.97077971047504
Castilla y León,2019,11,3.2424774523106388,16.9920421281791,40.02419722577703,33.28883691511113,9.694923730932734
Castilla-La Mancha,2019,11,2.50395600500202,22.18336563971759,34.117589034875074,34.239773238030274,9.45927208737706
Cataluña,2019,11,6.754430545764546,6.351475602320046,27.004303226390064,21.87851851388401,44.76570265740588
Ceuta,2019,11,1.1752676672112072,36.6288492706645,26.732951003615508,32.58633586834559,4.051863857374392
Comunidad Valenciana,2019,11,2.8861717897552124,18.724930411961985,31.21734780503273,29.0889795180641,20.968742264941184
Extremadura,2019,11,1.8727906922302595,17.083033850155733,34.11062052914399,39.55282883252901,9.25351678817127
Galicia,2019,11,2.8145959018002302,7.934276557407113,36.80489605696159,32.485463382176185,22.77536400345511
La Rioja,2019,11,1.8989324834555508,11.630467543811088,41.90302202702786,36.03365872561864,10.43285170354241
Madrid,2019,11,3.8984128020249993,18.551894122850697,34.36697817581199,28.088173421583218,18.9929542797541
Melilla,2019,11,5.788846051428108,26.30192689801765,46.4534910586387,23.506307471928285,3.738274571415369
Murcia,2019,11,1.676376237836214,28.34176513220692,34.42230476733483,26.119287615822,11.116642484636255
Navarra,2019,11,4.748796333316482,5.904202492278069,30.091387578699923,29.97445764251026,34.02995228651175
País Vasco,2019,11,4.687558310039657,2.46994287740376,42.36268672236304,19.978504448266637,35.18886595196656
Andalucía,2023,7,3.844295769865078,15.589515504267396,37.05330351506827,34.87815347770258,12.479027502961744
Aragón,2023,7,3.056761070880325,14.963473328367616,37.12040909872229,35.22732481521801,12.688792757692088
Asturias,2023,7,6.957835516768384,12.72909764078719,36.32720016523537,35.541990778910645,15.4017114150668
Baleares,2023,7,4.711109788694329,15.407670120025523,36.09078703973946,31.552240187918542,16.949302652316476
Canarias,2023,7,3.795724929236842,7.658427954257174,42.37914976329504,39.26826925647609,10.694153025971698
Cantabria,2023,7,3.3991233660838867,14.24999638273552,42.633368541374274,34.345202783846744,8.771432292043466
Castilla y León,2023,7,4.824426533003483,14.236543581056932,42.92400346288839,35.44095869155383,7.398494264500845
Castilla-La Mancha,2023,7,3.886595850651077,17.994430249119127,39.404485487194165,35.12309290810972,7.477991355576997
Cataluña,2023,7,3.8977656564577687,7.85602354636576,25.733560625294693,35.93345398580101,30.476961842538536
Ceuta,2023,7,3.612194769541973,23.6175852298693,39.356548761539166,34.5245711848399,2.5012948237516373
Comunidad Valenciana,2023,7,4.811936670312363,15.863836581810904,35.35742456296156,33.332489722325434,15.446249132902096
Extremadura,2023,7,1.9918315934842448,13.941265121583642,38.72770966559407,40.303694350535615,7.027330862286668
Galicia,2023,7,4.556527614780042,4.919497503882335,44.01817828176954,30.52000135843138,20.54232285591674
La Rioja,2023,7,5.274883487132387,9.944609643752552,46.478339455425335,36.7587895749519,6.818261325870212
Madrid,2023,7,4.627539125625027,14.230581620101916,41.13675628184853,28.85513266561237,15.777529432437182
Melilla,2023,7,10.52717766366837,16.938022148824558,52.24791140470176,27.600544006217216,3.2135224402564604
Murcia,2023,7,3.1578431802187548,22.135106052402683,41.79025085928839,26.36186862827313,9.712774460035796
Navarra,2023,7,14.13364476943562,5.783319140350304,32.43774126834826,31.16155966542144,30.61737992587999
País Vasco,2023,7,12.227575483846516,2.6708147914779663,35.9464769380888,25.991589983241223,35.39111828719201
