;;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
201901;Enero de 2019;1;Andalucía;11;Cádiz;11036;Torre Alháquime;60;1;10;19;4;20;6;10;1;10;37;2
201901;Enero de 2019;1;Andalucía;11;Cádiz;11037;Trebujena;704;34;177;151;38;205;99;111;20;68;438;67
201901;Enero de 2019;1;Andalucía;11;Cádiz;11038;Ubrique;2206;60;263;488;59;518;818;18;936;95;1030;127
201901;Enero de 2019;1;Andalucía;11;Cádiz;11039;Vejer de la Frontera;2109;96;338;400;88;611;576;80;51;186;1620;172
201901;Enero de 2019;1;Andalucía;11;Cádiz;11040;Villaluenga del Rosario;32;3;6;9;0;7;7;1;0;3;26;2
201901;Enero de 2019;1;Andalucía;11;Cádiz;11041;Villamartín;1685;128;293;372;112;465;315;198;90;171;1113;113
201901;Enero de 2019;1;Andalucía;11;Cádiz;11042;Zahara;124;8;29;37;5;26;19;32;6;45;37;4
201901;Enero de 2019;1;Andalucía;11;Cádiz;11901;Benalup-Casas Viejas;900;29;112;148;44;255;312;114;19;102;595;70
201901;Enero de 2019;1;Andalucía;11;Cádiz;11902;San José del Valle;559;36;86;123;34;150;130;67;32;67;346;47
201901;Enero de 2019;1;Andalucía;14;Córdoba;14001;Adamuz;211;5;35;53;10;77;31;69;2;21;115;4
201901;Enero de 2019;1;Andalucía;14;Córdoba;14002;Aguilar de la Frontera;712;40;114;160;66;233;99;88;49;68;445;62
201901;Enero de 2019;1;Andalucía;14;Córdoba;14003;Alcaracejos;152;5;24;32;10;42;39;13;4;20;112;3
201901;Enero de 2019;1;Andalucía;14;Córdoba;14004;Almedinilla;107;1;10;22;6;45;23;9;10;8;69;11
201901;Enero de 2019;1;Andalucía;14;Córdoba;14005;Almodóvar del Río;854;44;125;183;54;246;202;153;40;72;524;65
201901;Enero de 2019;1;Andalucía;14;Córdoba;14006;Añora;130;4;10;19;13;32;52;8;5;17;89;11
201901;Enero de 2019;1;Andalucía;14;Córdoba;14007;Baena;1113;34;122;209;81;397;270;159;92;103;670;89
201901;Enero de 2019;1;Andalucía;14;Córdoba;14008;Belalcázar;357;16;36;68;13;104;120;20;26;33;255;23
201901;Enero de 2019;1;Andalucía;14;Córdoba;14009;Belmez;409;17;68;82;26;107;109;33;27;79;231;39
201901;Enero de 2019;1;Andalucía;14;Córdoba;14010;Benamejí;205;6;24;43;25;77;30;22;20;19;126;18
