Topic,Words,Frequency,Timestamp,Name
81,"camión, conductor, policía, pan, camionero",12,2015,81_camión_conductor_furgoneta_mossos
82,"marlaska, maroto, grande marlaska, ayudas, grande",1,2015,82_marlaska_grande marlaska_grande_minis...
83,"patera, alhucemas, desaparecidos, salvamento, embarcación",60,2015,83_patera_alhucemas_desaparecidos_salvam...
84,"macedonia, gases, lacrimógenos, gases lacrimógenos, policía macedonia",27,2015,84_macedonia_gases_lacrimógenos_gases la...
85,"boko haram, boko, haram, chad, atentado",5,2015,85_trípoli_libia_jartum_sudán
88,"guardacostas, balsa, guardia costera, costera, griega",20,2015,88_guardacostas_guardia costera_costera_...
89,"aves, diócesis, cáceres, jornada, iglesia",13,2015,89_día_jornada_migrante_día internaciona...
-1,"refugiados, personas, europa, país, países",3770,2016,-1_refugiados_personas_migrantes_país
0,"patera, salvamento, marítimo, salvamento marítimo, embarcación",938,2016,0_patera_salvamento_marítimo_salvamento ...
1,"inmigrantes, población, españa, inmigración, personas",412,2016,1_canarias_gobierno_migrantes_menores
2,"alemania, merkel, refugiados, berlín, alemana",747,2016,2_alemania_merkel_refugiados_berlín
3,"policía, detenido, policía nacional, euros, agentes",138,2016,3_policía_detenido_policía nacional_agen...
4,"trump, clinton, méxico, muro, donald trump",146,2016,4_trump_méxico_unidos_donald trump
5,"open, open arms, arms, astral, proactiva",4,2016,5_open_arms_open arms_barco
6,"refugiados, acogida, gobierno, colau, ayuntamiento",226,2016,6_refugiados_acogida_ayuntamiento_gobier...
7,"ceuta, inmigrantes, vallado, valla, fronterizo",155,2016,7_ceuta_inmigrantes_valla_vallado
8,"suiza, italia, svp, referéndum, suizo",12,2016,8_italia_meloni_salvini_italiano
9,"refugiados, ue, países, europea, 000",138,2016,9_refugiados_países_ue_000
10,"prisión, acusado, cárcel, audiencia, fiscal",74,2016,10_prisión_acusado_patera_audiencia
11,"egeo, naufragio, griega, turquía, refugiados",159,2016,11_griega_naufragio_egeo_grecia
12,"turquía, ue, ankara, turco, refugiados",398,2016,12_turquía_ue_ankara_turco
13,"méxico, unidos, frontera, guatemala, tijuana",12,2016,13_méxico_unidos_frontera_migrantes
14,"asalto, cadáver, ceuta, inmigrante, cuerpo",33,2016,14_cádiz_playa_embarcación_melilla
15,"guardia costera, costera, marina, operaciones, mediterráneo",164,2016,15_guardia costera_costera_inmigrantes_g...
16,"papa, francisco, papa francisco, pontífice, lesbos",205,2016,16_papa_francisco_papa francisco_pontífi...
17,"grecia, refugiados, turquía, idomeni, lesbos",285,2016,17_grecia_refugiados_turquía_idomeni
18,"ue, países, europea, fronteras, europa",37,2016,18_ue_europea_países_migración
19,"melilla, valla, salto, inmigrantes, subsaharianos",116,2016,19_melilla_valla_salto_inmigrantes
20,"reino unido, unido, reino, brexit, cameron",83,2016,20_reino unido_unido_reino_sunak
21,"solicitudes, asilo, peticiones, españa, protección",63,2016,21_solicitudes_asilo_peticiones_protecci...
22,"calais, campamento, jungla, parís, francia",218,2016,22_calais_francia_parís_campamento
23,"marruecos, cooperación, inmigración, marroquí, españa",11,2016,23_marruecos_españa_rabat_marroquí
24,"refugiados, concierto, música, festival, exposición",195,2016,24_refugiados_música_concierto_exposició...
25,"méxico, unidos, cementerio, familiares, frontera",4,2016,25_méxico_unidos_inm_migrantes
26,"sanitaria, sanidad, decreto, atención, asistencia",28,2016,26_sanitaria_sanidad_atención_tarjeta
27,"incendio, fuego, bomberos, refugiados, llamas",136,2016,27_incendio_bomberos_llamas_fuego
28,"jordania, atentado, campo refugiados, campo, israel",6,2016,28_israel_gaza_hamás_franja
29,"refugiados, españa, grecia, reubicación, madrid",237,2016,29_refugiados_españa_grecia_madrid
30,"austria, refugiados, alemania, austríaco, frontera",66,2016,30_austria_refugiados_hungría_tren
31,"refugiados, manifestación, marcha, plaza, derechos",161,2016,31_refugiados_manifestación_marcha_plaza
32,"rajoy, acuerdo, congreso, funciones, gobierno",152,2016,32_rajoy_gobierno_acuerdo_congreso
33,"cie, internos, internamiento, motín, centro",94,2016,33_cie_internos_motín_inmigrantes
34,"bulgaria, búlgaros, camión, turquía, policía",40,2016,34_camión_policía_bulgaria_vehículo
35,"sara, comunión, regalos, valència, ucranianos",1,2016,35_ucranianos_ucrania_refugiados ucrania...
36,"mediterráneo, oim, muerto, libia, italia",83,2016,36_mediterráneo_oim_muerto_ruta
37,"climático, cambio climático, cambio, climáticos, millones",46,2016,37_climático_cambio climático_climáticos...
38,"asilo, ancianos, residencia, edificio, ayuntamiento",49,2016,38_asilo_ancianos_centro_ayuntamiento
39,"croacia, serbia, eslovenia, refugiados, frontera",18,2016,39_croacia_serbia_eslovenia_croata
40,"libia, fragata, mediterráneo, costas, frente",63,2016,40_libia_mediterráneo_naufragio_costa li...
41,"barco, italianas, sicilia, 30 minutos, puerto",6,2016,41_barco_watch_salvini_ong
42,"dinamarca, suecia, danés, asilo, rasmussen",112,2016,42_dinamarca_suecia_danés_partido
43,"hungría, serbia, húngaro, frontera, refugiados",16,2016,43_hungría_serbia_frontera_húngaro
44,"niños, niños refugiados, europol, refugiados, menores",133,2016,44_niños_niños refugiados_refugiados_men...
45,"mauritania, senegal, wolof, francesa, diversidad cultural",1,2016,45_mauritania_senegal_río tajo_tajo
46,"000, mediterráneo, acnur, europa, grecia",38,2016,46_000_mediterráneo_europa_acnur
47,"rosi, película, lampedusa, fuego, mar",1,2016,47_lampedusa_isla_migrantes_meloni
48,"siria, sirios, refugiados, líbano, jordania",77,2016,48_siria_sirios_refugiados_líbano
50,"naufragio, supervivientes, sicilia, mediterráneo, canal sicilia",25,2016,50_naufragio_supervivientes_italia_sicil...
51,"españa, refugiados, grecia, italia, turquía",97,2016,51_españa_refugiados_grecia_italia
52,"orbán, hungría, referéndum, húngaros, cuotas",115,2016,52_hungría_orbán_referéndum_húngaros
53,"material, recogida, alimentos, refugiados, productos",83,2016,53_alimentos_material_recogida_refugiado...
54,"málaga, patera, puerto málaga, salvamento, salvamento marítimo",75,2016,54_málaga_puerto málaga_patera_puerto
55,"osama, getafe, reportera, periodista, mohsen",39,2016,55_osama_reportera_getafe_mohsen
56,"iglesia, cañizares, obispo, refugiados, obispos",21,2016,56_cañizares_iglesia_arzobispo_cardenal
58,"venezolanos, venezuela, país, colombia, salgado",8,2016,58_venezolanos_venezuela_colombia_país
59,"air, avión, aeropuerto, secuestrador, air europa",13,2016,59_avión_sedición_palma_delito
60,"ferry, calais, ría, brexit, llucmajor",3,2016,60_bibby_bibby stockholm_stockholm_barca...
61,"may, ruanda, embargo, reino unido, unido",1,2016,61_ruanda_sunak_tribunal_supremo
63,"alhucemas, hernández bento, bento, patera, supervivientes",2,2016,63_patera_naufragio_canarias_embarcación
64,"texas, huellas, abbott, digitales, seguridad nacional",7,2016,64_texas_abbott_ice_gobernador
65,"novela, historia, libro, película, cine",25,2016,65_novela_historia_película_libro
66,"malta, of malta, times of, barco, maltesa",1,2016,66_malta_barco_alan kurdi_alan
67,"roja, cruz roja, cruz, córdoba, personas",15,2016,67_roja_cruz roja_cruz_personas
68,"refugiados, europa, crisis, ue, crisis refugiados",76,2016,68_refugiados_crisis_europa_crisis refug...
69,"turquía, acuerdo, ue, refugiados, bandera",131,2016,69_acuerdo_turquía_ue_bandera
70,"maletero, inmigrante, camión, ceuta, minerva",22,2016,70_camión_frigorífico_camión frigorífico...
71,"indonesia, australia, 44 inmigrantes, 44, birmania",2,2016,71_malasia_tailandia_birmania_indonesia
