topic,ejemplo,comentario
3,2,Él es gay. Bueno ha tenido sus aventurillas
3,3,"Al menos no ha dicho ""un gay desviado"""
4,1,"yo soy ateo y repudio las religiones por igual, no se que dices de cristianismo. Si todo el mundo fuera ateo que bien estaría este mundo."
4,2,Luego no serán de los que se ofenden si otras religiones piden lo mismo que la religión católica en las aulas amparándose en la Constitución?
4,3,una religión es una religión. Estas son enemigas de la izquierda porque para los religiosos el librepensador es peligroso.
5,1,Pero lo importante es la denuncia a la policía.
5,2,"¿Cambiaría algo que fueran, por ejemplo, 500-? No, no cambiaría absolutamente nada. Y ya sé que no es agradable leer lo que pasó, pero la realidad está ahí y esas son las cifras que han salido en toda la prensa seria internacional. De hecho, ya se está cobrando las primeras víctimas políticas por la mala actuación de la policía: Por ejemplo, el jefe de la policía de Colonia, Wolfgang ALbers, ha sido destituido después de las críticas en la forma en que la policía manejó los incidentes violentos en la víspera de Año nuevo. Y cito literalmente de la misma fuente: Polisen har sagt att omkring tusen män av utländskt ursprung rånade, hotade och ofredade kvinnor under nyårsnatten La policía ha dicho que al rededor de 1000 hombres de origen extranjero robaron, amenazaron y ""hostigaron"" a mujeres en la víspera de año nuevo http://www.gp.se/nyheter/varlden/1.2950358-kolns-polischef-tvingas-avga En español, la noticia de la destitución del jefe de policía de Colonia: http://www.efe.com/efe/america/mundo/destituido-el-jefe-de-la-policia-colonia-tras-los-sucesos-nochevieja/20000012-2806327 Pero las cosas no se contaron hasta pasados unos días ¿por miedo, precisamente, a dar la razón a quienes hacían comentarios racistas? (de hecho, la primera noticia que leí yo solo hablaba de ""hombres"" y la segunda de ""hombres de origen norteafricano""). Y no, aclaro que no creo que ""la mayoría"" fueran refugiados ni que el problema se deba a los refugiados. Y tengo muchas dudas a cerca de la nacionalidad o de la autenticidad de esos papeles que dicen que alguno rompió gritando cierta nacionalidad y diciendo que ""habían sido invitados"" y que conseguirían otro igual. Pero sí que creo que no ha sido una ""delincuencia habitual"" propia de un día de celebración y que no es sano negarlo. Y sí que creo que ha sido algo organizado y que es muy peligroso socialmente dejar sin una respuesta contundente hechos como estos que atacan uno de los pilares básicos de la sociedad (que, repito, es la igualdad). En unos días empieza el carnaval de Colonia y, si yo pudiera, iría. Y pediría a todas las mujeres que pudieran hacerlo que fueran a los carnavales, que salieran y que, aunque, como yo, tal vez por dentro tuvieran miedo y, por si acaso, tuvieran que llevar un spray de pimienta en el bolsillo y un gran silbato colgado, que no dejaran de ir. Con paso firme y alegres. Y que fueran también muchos hombres que no pertenecen a ningún grupo que haya tenido que ver con esto (y que vayan sirios, afganos, turcos y de cualquier lugar de la tierra). Para que vieran estos que organizaron todo esto que no les tenemos miedo y que creemos en lo que estamos construyendo (=Una sociedad más igualitaria y libre en la que todos tenemos iguales derechos). Y si algún grupo de payasos se atreve de nuevo a intentar aislar a una mujer para meterle miedo en el cuerpo solo por ser mujer, que el resto de las personas congregadas, hombres y mujeres, les plantaran cara. Para que vieran que, aunque en esa plaza se juntaron 1000 (que sí, yo sí que me creo esa cifra de hombres aunque mi forma de pensar no cambiaría si hubieran sido 500), en Colonia, en Alemania, en el mundo hay muchos millones de personas que no comparten la cultura del miedo. Y que no se necesita un estado armado, con policías patrullando a todas horas, sino que se necesita gente que respete los valores que todos decimos tener y que estamos dispuestos a plantar cara a quien se los quiera pasar por alto, sea alemán, griego, español, sueco, sirio, afgano, indio, marciano o de donde la casualidad haya querido que nazca."
5,3,"La policía tendrá sus trapos sucios que hay que airear con pruebas como en todos los sitios. Pero una persona que hace apología de la violencia y anima a usar armas ilegales no es una buena policía, o buena opción para ser la ""jefa"" de la policía."
6,1,"Sobre la discusión de que medio elegir, creo que sobra. Por lo general en estos casos no hay ninguno 'original'. Si 'El colectivo Arcópoli ha denunciado...' supongo que lo habrá hecho llegar a todos los medios que haya podido, todos habrán recibido una nota de prensa o algo así y los que lo vean conveniente (alguno habrá que no), la publicara más o menos completa. En este caso además la fuente es EFE, una agencia de noticia que para eso está, para mover noticias a los medios. De la misma forma que si mañana se cae una casa en Madrid la noticia saldrá en un montón de medios. No nos vamos a liar a ver quien es 'original'. La noticia sería que se ha caido una casa. Otro caso sería artículos elaborados que se copian, noticias que se falsean, etc,.... Creo que no encaja en este caso."
6,2,"No sólo newtral y eldiario , copio: "" Casado:... Un fake new de la cual yo me siento víctima porque antes que político soy persona, y por tanto me resulta de especial gravedad que se intente poner, no en mi boca si no una aclaración en un pie de página de un periódico El ""pie de foto"" o ""pie de página"" al que se refiere Casado es esta información de El Mundo, publicada este domingo en su edición de papel. El ""pie de foto"" o ""pie de página"" al que se refiere Casado es esta información de El Mundo, publicada este domingo en su edición de papel. Casado: (El diario El Mundo) ""ayer rectificó su error y, sin embargo, llevamos doce horas con varios medios de comunicación siguiendo la línea de un error ya reconocido de uno de los principales periódicos de tirada nacional (...) El medio de comunicación a través de tuit de su subdirector aclara la información, el error"". Falso. El Mundo no ha reconocido ningún error ni ha rectificado ni una coma de su información. Lo explica el director adjunto de El Mundo (que no subdirector) al que se refiere Casado. https://twitter.com/JqManso/status/1106194104365522944?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1106194104365522944&ref_url=https%3A%2F%2Fwww.eldiario.es%2Fescolar%2FCasado-inmigrantes-intachable-expediente-academico_6_877772241.html Pablo Casado: ""La fake new, la posverdad, decía que el PP lo que quería es que a las mujeres inmigrantes sin papeles si decidían entregar a su hijo en adopción, se les iba a blindar"". Y eso que ahora Casado califica de 'fake news' es exactamente lo que explicó por escrito a Newtral el equipo de prensa del Partido Popular cuando este medio preguntó por la información de El Mundo pensando que se podía tratar de un bulo. Esta es la respuesta literal que dieron el martes desde el Partido Popular: ""La propuesta se refiere a que en el caso de que una mujer irregular quiera dar su hijo en adopción quedaría blindada, pero no sería un blindaje para toda la vida, y no supondría un motivo de expulsión. Cuando una mujer irregular quiere dar a su hijo en adopción, desvela esta situación y se expone a que se activen los mecanismos que la ley contempla ante esta situación irregular. Pues bien, este hecho no activaría la expulsión. Además de que gozarían de toda la protección y garantías en igualdad de condiciones que las mujeres que viven en situación regular en España"". "" En cuanto al protocolo de Madrid "" Pablo Casado: ¿Qué es lo que propone el PP desde hace diez años en sus autonomías como aquí o la Comunidad de Madrid? Que las madres embarazadas que deciden entregar a su hijo en adopción en lugar de abandonarlo, tengan absolutamente garantizada la confidencialidad y los mismos derechos. Estuvieran regularizadas o no. El protocolo de la Comunidad de Madrid en cuestión al que se refiere Pablo Casado no se elaboró para proteger a las madres migrantes que dan a sus hijos en adopción. Se aprobó para luchar contra el abandono de recién nacidos. https://www.eldiario.es/madrid/protocolo-Madrid-PP-menciona-migrantes_0_877712536.html Pablo Casado: ""En Madrid o en la Junta de Castilla y León lo que hace es, por ejemplo, esas mujeres que por desgracia aparecen bebés abandonados, e independientemente de la nacionalidad de la madre, pues para evitar esos casos, cuando deciden entregar al niño en adopción en cualquier institución pública, esa institución decide no incoar el procedimiento de informar que esa persona está en situación irregular, tal y como exigiría la actual Ley de Extranjería"". Falso. La ley de Extranjería no obliga a denunciar a las mujeres sin papeles que entregan a su bebé en adopción. """
6,3,Es la verdulera de meneame todas sus noticias van sobre verdura. {lol}
7,1,Eres un racista y lo sabes.
7,2,que racista es la realidad... habrá que censurarla.
7,3,Eso es racista y poco integrador por tu parte
8,1,"Te has hecho un lío. Aquí no se habla de ""meter en España"" a nadie. Aquí se habla de gente que lleva 10 años como mínimo residiendo legalmente en España. Y para que un extranjero resida legalmente en España ha de haber estado trabajando en España durante estos años para renovar el permiso de residencia. No tiene nada que ver con las fronteras, tiene que ver con tener o no la nacionalidad española, simplemente."
8,2,"Hoy los multicultis de cartón están desbocados y más agilipollaos que nunca,que ya es estar agilipollaos. Más inmigrantes cuando el paro de los jóvenes españoles está en el cincuenta por ciento,cuando emigran miles y los que curran tienen trabajos de mierda sin ningún futuro.Y no hablemos de los mayores de 45 años que si se quedan sin trabajo están muertos laboralmente.Estos carajotes no escarmientan,todavía estamos en la crisis de la burbuja y a punto de empalmar con la siguiente crisis y todavía quieren traer más análfabetos para terminar de joder a los trabajadores españoles. España sólo necesita 40 millones de habitantes, los que habían antes de la inmigración salvaje que trajeron Aznar,Zapatero y los plutocratas con el aplauso de los medios vendidos y los onejetas vividores."
8,3,"Si, que no se han desplazado por propia iniciativa, si no obligados por la situacion: refugiados. Y la mayoría les gustaría volver a su país. >>yo no he afirmado nada sobre inmigración y paro Tienes razon , lo hacia Rarepepelarana, pero...no otro que se lía con lo ""evidente"" y piensa que las cosas son tan sencillas: -------------------- ""Es comprensible que estas creencias estén tan extendidas. Al fin y al cabo, la lógica más inmediata parece estar a su favor: en España somos X personas dispuestas a trabajar, hay Y empleos a un salario S marcado por la ley de la oferta y la demanda. Como observamos desempleo, sabemos que X>Y. Por tanto, S no es demasiado alto. Una cantidad N de inmigrantes aumentará la cantidad de trabajadores disponibles en X+N, que será aún mayor que Y. Así, los empleos serán relativamente más escasos. De paso, los salarios bajarán porque habrá más fuerza de trabajo disponible. ¿O no? El problema es que esta lógica es solo aparente. La oferta de puestos de trabajo no está fijada, sino que depende de infinidad de factores. Siguiendo con la inmigración, el mero hecho de que la población aumente también incrementará la demanda. Aún más importante es el hecho de que un considerable porcentaje de los inmigrantes llegan a su país de destino a abrir sus propios negocios, incrementando las probabilidades de puestos disponibles. Además, el mercado laboral no es único, sino que está segmentado: no todos los trabajadores potenciales competimos con las mismas habilidades ni para las mismas posiciones. Una parte importante de la inmigración puede llegar al país a completar su mercado de trabajo, trayendo perfiles complementarios y no sustitutivos, y por tanto incrementando la productividad de un gran número de empresas. Todos estos mecanismos nos indican que la relación entre inmigración, empleo y salarios es mucho más compleja y contradictoria de lo que cabría pensar; desde luego, mucho más de lo que piensa la mitad o más de los españoles de más de dieciocho años. Las características del mercado de destino y de la población racirante son fundamentales para avanzar el efecto final."" ------------- ""(...) Sin embargo, no hay prueba concluyente alguna que nos permita corroborar tal efecto, como Pajares mismo admite y como subrayan los estudios citados en el párrafo anterior."" Y estos estudios no son de Miami: Son de España {wink} ¿Los inmigrantes nos quitan el trabajo? http://politikon.es/2015/09/04/los-inmigrantes-nos-quitan-el-trabajo/"
9,1,Así son todos los musulmanes. Todos.
9,2,por parte de otros musulmanes
9,3,"Fases y los efectos de la islamización: El siguiente artículo proviene del libro del dr. Peter Hammond: La esclavitud, el terrorismo y el Islam: las raíces históricas y amenaza contemporánea: El Islam es ni una religión ni una secta - es un régimen pleno y completo. El Islam tiene componentes religiosos, políticos, económicos y militares.El componente religioso es la base de todos los demás componentes. La Islamización se produce cuando en un país hay suficientes musulmanes que hayan comenzado a exigir sus llamados ""derechos religiosos."" Cuando la sociedad políticamente correcta y multicultural accede a una demanda musulmanes ""razonable"" de sus ""derechos religiosos"", de manera silenciosa pasa a los otros componentes. Así es como funciona (en porcentajes de la CIA - The World Fact Book (2007)). Mientras la población musulmana se mantiene en torno al 1%, son percibidos como una minoría amante de la paz. En artículos de periódicos, películas pusieron de relieve su diferencia de color: EE.UU. - musulmanes 1,0% Australia - musulmanes 1,5% Canadá - musulmanes 1,9% China - el musulmán 1% -2% Italia - musulmanes 1,5% Noruega - musulmanes 1,8% En el intervalo de 2% a 3% de los musulmanes comienzan a diferenciarse de otras minorías. Comienzan a ser visible como miembros de bandas callejeras y cárceles. No son los primeros signos de abuso de la asistencia social. Dinamarca - musulmana 2% Alemania - musulmanes 3,7% REINO UNIDO. Bretaña - musulmanes 2,7% España - musulmana 4% Tailandia - musulmanes 4,6% Por encima de 5% comienza a ser (desproporcionada a su número) fuerte impacto notable en la sociedad. Ellos están presionando para la introducción de halal (limpios. Normas islámicas), por lo que se fuerza la aparición de un gran número de puestos de trabajo para los musulmanes. Hay una serie de peticiones a las cadenas de distribución para introducir el alimento en el mercado, a menudo reforzada por amenazas. Francia - musulmana 8% Filipinas - musulmana 5% Suecia - musulmana 5% Suiza - musulmanes 4,3% Países Bajos - musulmanes 5,5% Trinidad y Tobago - musulmanes 5,8% Más del 10% del gobierno estatal se ve obligado a reconocer su derecho a los tribunales o por Sharii. Ley islámica. En última instancia, el Islam busca asegurar que todo el mundo obedece la ley sharia. El fuerte aumento de la ilegalidad, hay guetos musulmanes, donde las patrullas de policía armados, incluso no se atreven a entrar. El gobierno comienza a perder el control de la situación. Cualquier excusa podría dar lugar a disturbios, fumando coches y los ataques a los no musulmanes. Guyana - musulmanes 10% India - musulmana 13,4% Israel - los musulmanes 16% Kenia - musulmanes 10% Rusia - musulmanes 10-15% Más del 20% empiezan las demostraciones de poder, incendios de escuelas, hospitales, automóviles, sinagogas e iglesias. La mayoría de los presos son musulmanes. Hasta el momento, el grupo ocasional de yihadistas para-militares están empezando a trabajar a la luz del día, a menudo se destaca en las áreas de residencia musulmanes, las fuerzas de seguridad locales. Etiopía - musulmana 32,8% Por encima de 40%, se puede esperar matanzas regulares y ataques terroristas. organizaciones paramilitares se rigen por ciertos sitios. capricho. El trabajo es también el secuestro de la mujer infiel, la violación y la esclavitud todavía latente. Bosnia - musulmanes 40% Chad - musulmana 53,1% Líbano - musulmana 59,7% Más del 60% ilimitada persecución de infieles, el asesinato en masa de vez en cuando, introdujeron Sharii justo al otro lado del país. Los creyentes están obligados a pagar un impuesto ""de protección"" llamada. Jizja, generalmente solicitado su fortuna. El éxodo masivo de los no musulmanes del país. Albania - musulmanes 70% Malasia - musulmana 60,4% Qatar - musulmana 77,5% Sudán - musulmanes 70% Por encima de 80% aparecen purgas y ejecuciones dirigidas desde el estado. Bangladesh - musulmanes 83% Egipto - musulmanes 90% Gaza - musulmana 98,7% Indonesia - musulmana 86,1% Irán - musulmanes 98% Irak - musulmanes 97% Jordan - musulmanes 92% Marruecos - musulmana 98,7% Siria - musulmanes 90% Tayikistán - musulmanes 90% Turquía - musulmana 99,8% Emiratos Árabes Unidos - 96% musulmanes Cerca de 100% se produce de modo. Habitación musulmana (de ahí el Islam es conocida como la ""religión de la paz"") o ""Dar-es-Salaam,"" que significa ""Casa de la Paz islámica."" Por. doctrina militar del Islam debe ser entonces la paz, porque ellos son todos los musulmanes y no tienen ninguna razón para luchar. Afganistán - musulmán 100% Arabia Saudí - musulmán 100% Somalia - musulmán 100% Yemen - musulmana 99,9% Por supuesto, eso no ocurre. Para cumplir con su sed de sangre, los musulmanes comienzan a matarse unos a otros en mutuamente diferentes razones. ""Antes de que yo tenía 9 años, he aprendido el canon básico de la vida árabe Yo contra mi hermano;. Yo y mi hermano contra nuestro padre; mi familia en contra de nuestros primos y el clan; el clan contra la tribu; en contra de la tribu mundo, y todos nosotros contra el infiel ""el libro escritor estadounidense de origen paquistaní - Leon Uris"". el Haj "" Es bueno recordar que en muchos, muchos países, como Francia, la población musulmana se concentra en guetos, definido por su origen étnico. Los musulmanes no se integran en la sociedad en general. Por lo tanto, la ganancia coloca una influencia mucho mayor que su interés nacional podría sugerir. Dr.Peter Hammond, Frontpage Revista"
10,1,"El estatus de refugiado no es de por vida, hasta ahí estamos de acuerdo, no? Que situación dices tu que tiene que producirse para que a los refugiados sirios se les revise ese estatus?"
10,2,"Y en vez de refugiados, hacendados."
10,3,"No serían refugiados, serían desterrados."
11,1,"Samantha V allejo Nágera , ¿ En serio? ¿Pero es que nadie tiene memoria para los apellidos en este país? En fin... Saludos. https://es.wikipedia.org/wiki/Juan_Antonio_Vallejo-N%C3%A1gera https://es.wikipedia.org/wiki/Antonio_Vallejo-N%C3%A1jera"
11,2,https://es.m.wikipedia.org/wiki/Atentados_de_Par%C3%ADs_de_noviembre_de_2015 Y en 2016: https://es.m.wikipedia.org/wiki/Anexo:Ataques_terroristas_en_Francia
11,3,"buf, san google es tu amigo https://www.eldiario.es/politica/Buscan-Godella-Guardia-Civil-interroga_0_877713159.html https://www.eldiario.es/politica/busqueda-desaparecidos-Godella-extiende-varios_0_877713212.html https://www.eldiario.es/politica/Hallados-muertos-enterrados-desaparecidos-Godella_0_877713300.html https://www.eldiario.es/politica/hallados-muertos-Godella-sepultados-separada_0_877713339.html https://www.eldiario.es/cv/sociedad/Guardia-Civil-detiene-hallados-Godella_0_877713353.html https://www.eldiario.es/cv/sociedad/Guardia-Civil-detiene-hallados-Godella_0_878062294.html https://www.eldiario.es/politica/menores-muertos-Godella-acusados-homicidio_0_878062345.html"
12,1,Europa una! y no cincuenta y una!
12,2,"Toa europa, querras decir."
12,3,Y Europa mirandose el ombligo.
13,1,Más que la España que madruga son la España quema droga {lol}
13,2,"Lo dicen por jóvenes por España, la España que solo quieren para ellos, yo tampoco se a que mierda se refieren si no es a la España de Franco"
13,3,¿mandarlas a España?
14,1,Qué les confisquen el barco.
14,2,"Sí hombre, claro, y les regalamos el barco."
14,3,"O sea, que la cosa es que los recoges para salvarlos de que se ahoguen y ya tienes la obligacion de llevartelos a tu casa? Porque exactamente que es ""puerto seguro""? Estamos hablando de salvamento maritimo o de inmigracion? Porque claro, peticion de asilo a quien? Al capitan del barco? Se los va a llevar a vivir con el? Se quedan en el barco pa siempre? Porque, si un barco los recoge, el barco tiene la obligacion de llevarlos hasta el puerto que ellos quieran y el pais donde este puerto este situado tiene la obligacion de recogerlos? Quien le da la autoridad al capitan del barco de recoger a nadie y quien da la obligacion a un pais de acoger a alguien recogido a miles de kilometros de su costa? Porque vamos, los recogieron en la costa de Africa y extrañamente es Europa(un continente distinto) el que tiene la supuesta obligacion de proporcionarles un puerto seguro..."
15,1,"Mira, precisamente Turquía lo que no quiere es ser un Marruecos de la vida... ¿Quién crees que frena la marea de personas que vienen desde todas partes de África hacia Europa y que, lógicamente, pretenden entrar por España, ya que es el acceso por tierra más directo? Marruecos ¿Quién crees que asume su papel de ""malo"" a cambio de ser un ""poderoso aliado de la UE"" (también llamados ""las putitas"") y llevarse sus buenos ""favores"" por ello? Marruecos ¿Quién crees que está frenando desde hace décadas la entrada de inmigrantes en Europa? Sí, exacto, la Guardia Civil {grin} No, fuera coñas, ¡es Marruecos otra vez! Con esto quiero decir...que sí, que nos rajamos las vestiduras con lo de Turquía y lso refugiados, pero que Marruecos lleva 20 años haciendo lo mismo con los inmigrantes, y tanto la UE, como la población que habitamos en ella, lo hemos asumido con total normalidad, pensando que los que se encargan de ""frenar"" estas cosas son nuestras FFSS, sin darse cuenta de que tenemos un ""muro"" en forma de país aliado. Dudo mucho que a Marruecos le interese ser el México de África (lo mismo que a Turquía ser el Marruecos de Oriente Medio) y asumir el papel de ""cabrón"" en todo esto, cuando simplemente con abrir las fronteras o hacer la vista gorda ante las mafias, se ahorrarían buena parte de todos los problemas que tienen. Si no lo hacen, ten por seguro que es por trapis con el llamado ""primer mundo""."
15,2,Si no fuera por Libia irían por Marruecos o Mauritania.
15,3,"¿Me puedes explicar exactamente qué recursos de Marruecos explotamos? (sí, ya sé que la noticia es de Libia, pero en España el problema lo tenemos con Marruecos)"
16,1,"Mejor niños, que pesan mas"
16,2,¿Y los padres de los niños no son responsables de nada de nada?
16,3,"lo que está cientificamente probado es que a un niño de 7 años no le puedes dejar decidir algo que tendrá repercusión el resto de su vida... que tu, como progre-bueno, quieras discutir esto, ok... de ahí a que eso lo llames ""estar bien informado"", hay un mundo. Y no.... JAMÁS debes apoyar las DECISIONES de un niño de 7 años...vaya gilipollez...decís cada subnormalidad que me sorprende que sigais con vida...los padres estan para educar al niño, EDUCARLO, y no para someterse y darle apoyo Cientos de niños decidirian dejar el colegio. Cientos de niños decidirian ser trans por ver una peli de dibus donde la prota es niña y les gusta mucho. Cientos de niños decidirian que ya son aptos para beber y conducir. Cientos de niños blablabla Cualquier padre sabe que un niño de 7 años dice gilipolleces cada 30 segundos, e incluso en ocasiones hacen daño (sin saber que está mal) a sus mascotas, por simple curiosidad y sin ser psicopatas ni nada por el estilo. Con 7 años tus decisiones son una mierda...y por eso no tienen repercusiones en caso de cometer un crimen. Un niño de 7 años no ha de pensar sobre sexo e identidades de genero... las personas que creen estar siendo correctos, como tu, lo que haceis en realidad es un daño irreversible en los niños que por desgracia caen en vuestras manos... en lugar de guiarles, decidis que el niño es el patrón del barco... y lo peor de todo ...creeis que haceis lo correcto"
17,1,Si hubiera sido la bandera del aguilucho
17,2,"Fuera la otra bandera, otro aguilucho cantaría"
17,3,"No, no ha eliminado la bandera confederada https://www.youtube.com/watch?v=ULBCuHIpNgU&feature=share"
18,1,"hace 100 años Nigeria tenía 15 millones de habitantes, hoy tiene 213 millones. España 18 millones y ahora 47. Africa tenía en 1900 sobre 150 millones, hoy tiene más de 1.200 millones pero aún así algunos en occidente autoflagelandose por la pobreza en africa y llamando a abrir las puertas; porque son los más preparados, los más valientes (aún por encima parece que quieren quitarles población económicamente eficiente)"
18,2,"El sueño de traer a gente de África a causa del bombardeo publicitario de los 80 y 90 sobre la pobreza en África se ha dado una ostia con la realidad. Suecia, Francia, Reino Unido, España, Alemania, casi todos los países trajeron un montón de Peña de África y en todos los casos ha sido un fracaso. Europa se ha llenado de guetos donde ya no es posible entrar, Extremistas religiosos y familias numerosas a cargo del estado. Habrá quien diga que no tienen suficientes ayudas económicas y sociales, deja que me ría, en Francia hace poco te pagaban por tener hijos igual que Suecia, hoy esos países están a punto de convertirse en Estados fallidos, el más doloroso es Suecia, el que fue el ejemplo de Europa. Ahora intentan tener un mínimo de control de sus ciudadanos, ya veremos."
18,3,"Eso no es así. Ya no te acuerdas de toda la movida de las primaveras árabes? Qué hizo la gente de a pie movilizada cuando derrocaron a sus gobiernos totalitarios? Promovieron elecciones democráticas o igualdad de derechos, más industria? Más bien al contrario. Te recuerdo que todas las guerras, expolios y latrocinio que hay en África son perpetrados en una mayoría aplastante por africanos. Sorpresón, eh?! El capitalismo (el cual no tengo ninguna intención de defender) no empobreció África, porque África no está ahora peor que hace 50 ó 100 años. África tiene un problema cultural y de desarrollo, tiene caciques que venden sus recursos a las corporaciones y gente de a pie que tiene 10 hijos para que les mantengan. Compara Nigeria con España, por ejemplo. Alrededor de 1950 ambos países tenían unos 30millones de personas. Hoy España tiene 46 y Nigeria 200 y con expectativas de llegar a los 400 en 2050. Cómo te crees que viviríamos en España si metiéramos a 150 millones de personas más de repente a vivir aquí? El problema es mucho más complejo de lo que quereis ver algunos."
19,1,"Feminismo radical? Feminismo terf? Feminismo discriminatorio en positivo? Feminismo tradicional e igualitario? Una ya se pierde. Es simple: Si la ley no discriminara por género, este no importaría. Mientras nos traten de discapacitadas y nos den ventajas no nos van a tomar en serio."
19,2,Por eso yo diferencio entre feminismo normal y feminismo de pelo azul.
19,3,El masculino de feminismo es feminismo.
20,1,Pues para no simpatizar con Assad solo te falta dejarte su bigote...
